"","compound_identifier","original_name.x","cleaned_name.x","name_comments.x","compound_identifier_new","original_name.y","cleaned_name.y","name_comments.y"
"2962","3667C","carvone hydrate",NA,NA,"3667C","4-methoxycinnamaldehyde","",NA
"2963","3668C","carvone oxide",NA,NA,"3668C","(z)-cinnamyl alcohol","",NA
"2964","3669C","carvotacetone acetate",NA,NA,"3669C","1-octadecane","",NA
"2965","366C","cadalene",NA,NA,"366C","1-eicosene","",NA
"2966","3670C","carvotanacetone",NA,NA,"3670C","(z,z)-farnesyl acetate","",NA
"2967","3671C","carvotanacetone epoxide",NA,NA,"3671C","butyl hydroxyanisole","",NA
"2968","3672C","carvotane acetone",NA,NA,"3672C","caryophylla-2(12),6-diene-5-ol","",NA
"2969","3673C","carvyl acetate",NA,NA,"3673C","(e)-citronellyl tiglate","",NA
"2970","3674C","caryohyllene oxide",NA,NA,"3674C","di-epi-alpha-cedrene","",NA
"2971","3675C","caryolan-8-ol",NA,NA,"3675C","(z)-alpha-bergamotene","",NA
"2972","3676C","caryollalpha-4(14)-8(15)-dienol",NA,NA,"3676C","tau-cadinene","",NA
"2973","3677C","caryophylene oxide",NA,NA,"3677C","2-methylpropylliexanoate","",NA
"2974","3678C","caryophylla-1(12),8(15)-diene-14-ol",NA,NA,"3678C","2-metliylbutylisovalerate","",NA
"2975","3679C","caryophylla-2(12)-6-diene-5-alpha-ol",NA,NA,"3679C","2-phenyletliylliexanoate","",NA
"2976","367C","cadina-1,4-diene",NA,NA,"367C","abietatriene","",NA
"2977","3680C","caryophylla-2(12)-6-diene-5-beta-ol",NA,NA,"3680C","butyl-2-methyibutyrate","",NA
"2978","3681C","caryophylla-2(12)-6(13)-diene-5-ol",NA,NA,"3681C","citronellyl caproate","",NA
"2979","3682C","caryophylla-2(12),6-dien-5-alpha-ol",NA,NA,"3682C","geranyl caproate","",NA
"2980","3683C","caryophylla-2(12),6-dien-5-ol",NA,NA,"3683C","heptyl butyrate","",NA
"2981","3684C","caryophylla-2(12),6-dien-5beta-ol",NA,NA,"3684C","heptyl hexanoate+dodecanol","",NA
"2982","3685C","caryophylla-2(12),6-dien-5beta-ol (=caryophyllenol ii)",NA,NA,"3685C","hexyl propionate","",NA
"2983","3686C","caryophylla-2(12),6-diene-5-alpha-ol",NA,NA,"3686C","octyl octanote","",NA
"2984","3687C","caryophylla-2(12),6-diene-5-ol",NA,NA,"3687C","pentyl butyrate","",NA
"2985","3688C","caryophylla-2(12),6-diene-5-one",NA,NA,"3688C","pentyl hexanoate","",NA
"2986","3689C","caryophylla-2(12),6-diene-5alpha-ol",NA,NA,"3689C","(z)-3-octenol","",NA
"2987","368C","cadina-1,4-diene+alpha-calacorene",NA,NA,"368C","alpha-cubebene","",NA
"2988","3690C","caryophylla-2(12),6(13)-dien-5alpha-ol (=caryophylladienol ii)",NA,NA,"3690C","(z)-4-decenal","",NA
"2989","3691C","caryophylla-2(12),6(13)-dien-5beta-ol (=caryophylladienol i)",NA,NA,"3691C","(z)-p-ocimene","",NA
"2990","3692C","caryophylla-2(12),6(13)-diene-5-alpha-ol",NA,NA,"3692C","3-hexenyl butyrate","",NA
"2991","3693C","caryophylla-2(12),6(13)-diene-5-beta-ol",NA,NA,"3693C","esters of fatty acids","",NA
"2992","3694C","caryophylla-2(12),6(13)-diene-5-on",NA,NA,"3694C","hydrocarbon esters","",NA
"2993","3695C","caryophylla-2(12),6(13)-diene-5-one",NA,NA,"3695C","isopropyl hexadecanoate","",NA
"2994","3696C","caryophylla-2,6(13)-diene-5-alpha-ol",NA,NA,"3696C","6-metyl-3,5-heptadien-2-one","",NA
"2995","3697C","caryophylla-3",NA,NA,"3697C","1-nonene-3-ol","",NA
"2996","3698C","caryophylla-3(15),7(14)-diene-6-ol",NA,NA,"3698C","1-octene-3-ol","",NA
"2997","3699C","caryophylla-3,8( 13)-dien-5-beta-ol",NA,NA,"3699C","cis-p-menth-3-en-1,2-diol","",NA
"2998","369C","cadina-4,1(10)-dien-8 beta-ol",NA,NA,"369C","alpha-turmerone","",NA
"2999","36C","(e)-methyl isoeugenol",NA,NA,"36C","tau-cadinol","",NA
"3000","3700C","caryophylla-3,8(13)-dien-5-beta-ol",NA,NA,"3700C","guala-6,9-diene","",NA
"3001","3701C","caryophylla-3,8(13)-diene-5beta-ol",NA,NA,"3701C","guiaia-3,7-diene","",NA
"3002","3702C","caryophylla-4(12),8(13)-dien-5-ol",NA,NA,"3702C","(e)-3-octenyl acetate","",NA
"3003","3703C","caryophylla-4(12),8(13)-dien-5alpha-ol",NA,NA,"3703C","cymene","",NA
"3004","3704C","caryophylla-4(12),8(13)-dien-5beta-ol",NA,NA,"3704C","2(e)-hexenol","",NA
"3005","3705C","caryophylla-4(12),8(13)-diene-5-beta-ol",NA,NA,"3705C","phenyl acetaldehyde","",NA
"3006","3706C","caryophylla-4(12),8(13)-diene-5-ol",NA,NA,"3706C","(e,e)-e-farnesol","",NA
"3007","3707C","caryophylla-4(12),8(13)-diene-5beta-ol",NA,NA,"3707C","2-octylacetate","",NA
"3008","3708C","caryophylla-4(12),8(13)-diene-ol",NA,NA,"3708C","caryophylla-2(12),6(13)-diene-5-beta-ol","",NA
"3009","3709C","caryophylla-4(14),8-diene-5-beta-ol",NA,NA,"3709C","delta-guaiaene","",NA
"3010","370C","cadin-alpha-1,4-diene",NA,NA,"370C","beta-bisabolene","",NA
"3011","3710C","caryophylla-4(14),8-diene-5-ol",NA,NA,"3710C","octenyl acetate","",NA
"3012","3711C","caryophylla-4(14),8(15)-diene-5-beta-ol",NA,NA,"3711C","(z)-4-octenol","",NA
"3013","3712C","caryophylla-4(14),8(15)-diene-5-delta-ol",NA,NA,"3712C","(z)-4-octenyl acetate","",NA
"3014","3713C","caryophylla-4(14),8(15)-diene-5-ol",NA,NA,"3713C","(z)-4-octenyl pentanoate","",NA
"3015","3714C","caryophylla-alpha-2(12),6-dien-5-alpha-ol",NA,NA,"3714C","1,6-germacradien-5beta-ol","",NA
"3016","3715C","caryophylla-alpha-2(12),6-dien-5-beta-ol",NA,NA,"3715C","beta-cadinol","",NA
"3017","3716C","caryophylla-alpha-2(12),6(13)-dien-5-alpha-ol",NA,NA,"3716C","ethyl-(z)-9-octadecenoate","",NA
"3018","3717C","caryophylla-alpha-2(12),6(13)-dien-5-one",NA,NA,"3717C","ethyl-(z,z)-9,12-octadecadienoate","",NA
"3019","3718C","caryophylla-alpha-2(12),6(13)-diene-5-beta-ol",NA,NA,"3718C","eudesmalpha-4(15),7-dien-1beta-ol isomer","",NA
"3020","3719C","caryophylla-alpha-4(12),8(13)-diene-5-beta-ol",NA,NA,"3719C","guaialpha-4,6-diene","",NA
"3021","371C","cadinol",NA,NA,"371C","beta-turmerone","",NA
"3022","3720C","caryophylla-alpha-4(14),8(15)- dien-5-alpha-ol",NA,NA,"3720C","methyl (z)-9-octadecenoate","",NA
"3023","3721C","caryophylla-alpha-4(14),8(15)-dien-5-alpha-ol",NA,NA,"3721C","methyl (z,z)-9,12-octadecadienoate","",NA
"3024","3722C","caryophylladienol-i",NA,NA,"3722C","methyl-2-octanoate","",NA
"3025","3723C","caryophylladienol-ii",NA,NA,"3723C","bisabolol","",NA
"3026","3724C","caryophylladienol i",NA,NA,"3724C","3-nonanone","",NA
"3027","3725C","caryophylladienol ii",NA,NA,"3725C","eugenol acetate","",NA
"3028","3726C","caryophylladienone",NA,NA,"3726C","cedroxide","",NA
"3029","3727C","caryophyllandienol",NA,NA,"3727C","2-nonyl acetate","",NA
"3030","3728C","caryophyllene-(i3)b",NA,NA,"3728C","benzyl acetone","",NA
"3031","3729C","caryophyllene (z)",NA,NA,"3729C","o-mentha-1(7),5,8-triene","",NA
"3032","372C","calacorene",NA,NA,"372C","bisabolene","",NA
"3033","3730C","caryophyllene acetate",NA,NA,"3730C","selina-4,11-diene","",NA
"3034","3731C","caryophyllene alcohol",NA,NA,"3731C","selina-5,11-diene","",NA
"3035","3732C","caryophyllene epoxide",NA,NA,"3732C","thujol","",NA
"3036","3733C","caryophyllene epoxide i",NA,NA,"3733C","bornyl/isobornyl acetate","",NA
"3037","3734C","caryophyllene epoxide ii",NA,NA,"3734C","(e)-beta-famesene","",NA
"3038","3735C","caryophyllene oxide-i",NA,NA,"3735C","guaia-6,10(14)-dien-4beta-ol","",NA
"3039","3736C","caryophyllene oxide-ii",NA,NA,"3736C","2-hydroxy-4-methoxybenzaldehyde","",NA
"3040","3737C","caryophyllene oxide (os)",NA,NA,"3737C","2-phenylethylcinnamate","",NA
"3041","3738C","Caryophyllene oxide +globulol",NA,NA,"3738C","3-methoxyphenol","",NA
"3042","3739C","caryophyllene oxide b",NA,NA,"3739C","amyl cinnamate","",NA
"3043","373C","calamenene",NA,NA,"373C","cadalene","",NA
"3044","3740C","caryophyllene oxide d",NA,NA,"3740C","(e)-2,(z)-6-decadienal","",NA
"3045","3741C","caryophyllene oxide isomer",NA,NA,"3741C","hydroquinone","",NA
"3046","3742C","caryophyllene oxide+globulol",NA,NA,"3742C","isovanillin","",NA
"3047","3743C","caryophyllenol",NA,NA,"3743C","methyl-2-hydroxy-4-methoxybenzoate","",NA
"3048","3744C","caryophylline-(i3)",NA,NA,"3744C","10-methyl squalene","",NA
"3049","3745C","caryothyllene+it's oxide",NA,NA,"3745C","6,10,14-trimethylpentadecan-2-ol","",NA
"3050","3746C","caryphylla-2(12),6-diene-5-beta-ol",NA,NA,"3746C","(e)-nonadecene","",NA
"3051","3747C","caryphylla-2(12),6(13)-dien-5-alpha-ol",NA,NA,"3747C","eugenyl acetone","",NA
"3052","3748C","caryphylla-2(12),6(13)-diene-5-beta-ol",NA,NA,"3748C","methyl octadecane","",NA
"3053","3749C","cedr-8-en-13-alpha-ol acetate",NA,NA,"3749C","octaciosane","",NA
"3054","374C","calamusenone",NA,NA,"374C","curcumol","",NA
"3055","3750C","cedr-8-en-13-ol",NA,NA,"3750C","(z)-beta-ionone","",NA
"3056","3751C","cedr-8-en-13 aâo1",NA,NA,"3751C","3-decanone","",NA
"3057","3752C","cedr-8-en-15-ol",NA,NA,"3752C","cis-dihydrooccidentalol","",NA
"3058","3753C","cedr-8(15)-en-9-alpha-ol",NA,NA,"3753C","isoamyl nitrate","",NA
"3059","3754C","cedr-8(15)-en-9-alpha-ol acetate",NA,NA,"3754C","neo-alpha-clovene","",NA
"3060","3755C","cedr-8(15)-en-9-alpha-yl acetate",NA,NA,"3755C","2-heptenol","",NA
"3061","3756C","cedr-8(15)-en-9-ol acetate",NA,NA,"3756C","bulenesol","",NA
"3062","3757C","cedr-8(15)-en-9-ol e",NA,NA,"3757C","napinone","",NA
"3063","3758C","cedrane",NA,NA,"3758C","propyl tiglate","",NA
"3064","3759C","cedranol",NA,NA,"3759C","(z)-dehydro-apofarnesol","",NA
"3065","375C","calarene",NA,NA,"375C","curdione","",NA
"3066","3760C","cedranone",NA,NA,"3760C","5-epi-aristochene","",NA
"3067","3761C","cedreanol",NA,NA,"3761C","gamma-maaliene","",NA
"3068","3762C","cedren-13-ol(8)",NA,NA,"3762C","selina-3,7(11)-dien","",NA
"3069","3763C","cedroxide",NA,NA,"3763C","1-terpineol","",NA
"3070","3764C","cedrylacetate",NA,NA,"3764C","pinocanfone","",NA
"3071","3765C","cembrene",NA,NA,"3765C","an amyl cinnamate (tent.)","",NA
"3072","3766C","cepibicyclosesquiphellandrene",NA,NA,"3766C","cinnamyl acetate","",NA
"3073","3767C","cetic acid",NA,NA,"3767C","(z,e)-allo-ocimene","",NA
"3074","3768C","chamigrene",NA,NA,"3768C","6-epi-cubenol","",NA
"3075","3769C","chartabomone",NA,NA,"3769C","6-isopropyl-6-methyl-1-tetralone","",NA
"3076","376C","camphene",NA,NA,"376C","dehydro-p-cymene","",NA
"3077","3770C","chavibetol",NA,NA,"3770C","diphenylamine","",NA
"3078","3771C","chavibetol acetate",NA,NA,"3771C","(e)-cadinene","",NA
"3079","3772C","chavicol",NA,NA,"3772C","(e)-pinene","",NA
"3080","3773C","chavicol methyl ether",NA,NA,"3773C","(2)-4-octenyloctanoate","",NA
"3081","3774C","chavicyl acetate",NA,NA,"3774C","2-butyl-p-methylbutyrate","",NA
"3082","3775C","chavicyl angelate",NA,NA,"3775C","2-methylbutylbutyrate + (z)-4-octenol","",NA
"3083","3776C","chiiotasigma-calamenene",NA,NA,"3776C","2-methylbutylhexanoate","",NA
"3084","3777C","chrysanthenone epoxide",NA,NA,"3777C","2-methylbutylpropionate","",NA
"3085","3778C","chrysanthenyl acetate",NA,NA,"3778C","3-methylbutyl butyrate","",NA
"3086","3779C","chrysanthenyl propionate",NA,NA,"3779C","angelicin","",NA
"3087","377C","camphenehydrate",NA,NA,"377C","(e,e)-farnesol","",NA
"3088","3780C","chyrsanthenone",NA,NA,"3780C","benzyl-2-methylbutyrate + phenylethyl isobutyrate","",NA
"3089","3781C","cineol",NA,NA,"3781C","butyl-3-methylbutyrate","",NA
"3090","3782C","cineole",NA,NA,"3782C","butyl senecioate","",NA
"3091","3783C","cinerolone",NA,NA,"3783C","heptyl-2-methyl butyrate","",NA
"3092","3784C","cinnamaldehyde",NA,NA,"3784C","heptyl octanoate","",NA
"3093","3785C","cinnamic acid",NA,NA,"3785C","hexyl-3-methyl butyrate+(z)-anethole","",NA
"3094","3786C","cinnamic alcohol",NA,NA,"3786C","hexyl pentanoate+(z)-4-octenyl propionate","",NA
"3095","3787C","cinnamic aldehyde",NA,NA,"3787C","isobutyl hexanoate","",NA
"3096","3788C","cinnamyl acetate",NA,NA,"3788C","isobutylsenecioate","",NA
"3097","3789C","cinnamyl butyrate",NA,NA,"3789C","isopropyl-2-methylbutyrate","",NA
"3098","378C","camphor",NA,NA,"378C","(e,e)-farnesyl acetate","",NA
"3099","3790C","cinnamyl tiglate",NA,NA,"3790C","isopropyl-3-methylbutyrate","",NA
"3100","3791C","cinnamyle acetate",NA,NA,"3791C","isopropyl butyrate","",NA
"3101","3792C","cis-(z)-alpha-bisabolene epoxide",NA,NA,"3792C","isopropyl hexanoate","",NA
"3102","3793C","cis-/trans-calamenene",NA,NA,"3793C","isopropyl isobutyrate","",NA
"3103","3794C","cis-1-methyl-3-isopropyl-cyclopentane",NA,NA,"3794C","isopropyl senecionate","",NA
"3104","3795C","cis-1-methyl-4(1-methylethenyl) cyclohexane",NA,NA,"3795C","octyl formate","",NA
"3105","3796C","cis-1,2-epoxyterpinen-4-ol",NA,NA,"3796C","octyl octanoate","",NA
"3106","3797C","cis-1,2-limoneneepoxide",NA,NA,"3797C","octyl propionate","",NA
"3107","3798C","cis-14-muurol-5-en-4-one",NA,NA,"3798C","p-anisyl-2-methylbutyrate","",NA
"3108","3799C","cis-14-muurolol-5-en-4-one",NA,NA,"3799C","p-anisyl hexanoate","",NA
"3109","379C","canfene",NA,NA,"379C","(e,z)-farnesol","",NA
"3110","37C","(e)-nerolidol",NA,NA,"37C","2-phenylethylacetate","",NA
"3111","3800C","cis-14-nor-muurol-5-en-4-one",NA,NA,"3800C","phenyl ethyl-2-methylbutyrate","",NA
"3112","3801C","cis-2-(4-methylcyclohexyl)-1-propan-2-ol",NA,NA,"3801C","prenol","",NA
"3113","3802C","cis-2-methyl-3-methylene-5-heptene",NA,NA,"3802C","propyl-3-methyl butyrate","",NA
"3114","3803C","cis-2-methyl-3-methylenehept-5-ene",NA,NA,"3803C","propyl isobutyrate","",NA
"3115","3804C","cis-2-pentylcyclopropane-1-carboxylic acid",NA,NA,"3804C","(z)-4-octenyl 2-methyl butyrate","",NA
"3116","3805C","cis-2,3-pinane diol",NA,NA,"3805C","(z)-4-octenyl 3-methyl butyrate + phenyl ethyl butyrate","",NA
"3117","3806C","cis-2,3-pinanediol",NA,NA,"3806C","(z)-4-octenyl hexanoate","",NA
"3118","3807C","cis-2,7-dimethyl-4-octen-2,7-diol",NA,NA,"3807C","(z)-4-octenyl isobutyrate","",NA
"3119","3808C","cis-2,8-p-menthadien-1-ol",NA,NA,"3808C","1-(4-methoxy phenyl)-2-propanone","",NA
"3120","3809C","cis-3-hexenyl isovalerate",NA,NA,"3809C","ethyl-(2e)-pentenoate","",NA
"3121","380C","caranyl acetate ii",NA,NA,"380C","isoborneol","",NA
"3122","3810C","cis-3-hexenylacetate",NA,NA,"3810C","2,3,5-trimethyldecane","",NA
"3123","3811C","cis-3-hexenylbenzoate",NA,NA,"3811C","2,6-dimethylheptane","",NA
"3124","3812C","cis-3-hexenylvalerate",NA,NA,"3812C","2-methyl-4-heptanone","",NA
"3125","3813C","cis-3-hexnylisovalerate",NA,NA,"3813C","2-methyloctane","",NA
"3126","3814C","cis-3-pinanone",NA,NA,"3814C","aliphatic hydrocarbons","",NA
"3127","3815C","cis-3 hexenol",NA,NA,"3815C","aristoleneepoxide","",NA
"3128","3816C","cis-4-caranone",NA,NA,"3816C","3-phenylpropylacetate","",NA
"3129","3817C","cis-5-hydroxycalamenene",NA,NA,"3817C","decyldecanoate","",NA
"3130","3818C","cis-6-hesperylone",NA,NA,"3818C","isobutylisobuyrate","",NA
"3131","3819C","cis-6,7-epoxyocimene",NA,NA,"3819C","isopropyl isovalerate","",NA
"3132","381C","caratoly",NA,NA,"381C","isocaryophyllene","",NA
"3133","3820C","cis-abienol",NA,NA,"3820C","propyl-2-methyl butyrate","",NA
"3134","3821C","cis-allo-ocimene",NA,NA,"3821C","(z)-4-octenyl-2-methylbutyrate","",NA
"3135","3822C","cis-alpha-bergamoten",NA,NA,"3822C","(z)-4-octenyl butyrate","",NA
"3136","3823C","cis-alpha-bergamotene + alpha-cedrene",NA,NA,"3823C","cis-eudesma-6,11-diene","",NA
"3137","3824C","cis-alpha-bergamotene  a-cedrene",NA,NA,"3824C","drima-4,9(11)-diene","",NA
"3138","3825C","cis-alpha-bergamotenea",NA,NA,"3825C","alpha-panasinsene","",NA
"3139","3826C","cis-alpha-bergamotol",NA,NA,"3826C","p-eugenol","",NA
"3140","3827C","cis-alpha-bergaotene",NA,NA,"3827C","beta-chlorophyll","",NA
"3141","3828C","cis-alpha-bergarnotene",NA,NA,"3828C","mytenyl acetate","",NA
"3142","3829C","cis-alpha-bisabolene",NA,NA,"3829C","1-octan-3-ol","",NA
"3143","382C","carophyllene oxide",NA,NA,"382C","methyl hexadecanoate","",NA
"3144","3830C","cis-alpha-copaen-8-ol",NA,NA,"3830C","2(e),6(e)-methyl-10-hydroxyl-3,7,11-trimethyldodeca-2,6,11-trienoate","",NA
"3145","3831C","cis-alpha-santalol",NA,NA,"3831C","2(e),6(e)-methyl-3,7,11-trimethyl-10-oxododeca-dienoate","",NA
"3146","3832C","cis-anethole",NA,NA,"3832C","beta-bulnesene","",NA
"3147","3833C","cis-anhydro linalool oxide",NA,NA,"3833C","dihydro tagetone","",NA
"3148","3834C","cis-arbusculone",NA,NA,"3834C","(e,e)-methyl-10,11-epoxyfarnesoate","",NA
"3149","3835C","cis-ascaridole",NA,NA,"3835C","(e,e)-methyl-farnesoate","",NA
"3150","3836C","cis-b-ocimene",NA,NA,"3836C","sesquithujene","",NA
"3151","3837C","cis-bejarol",NA,NA,"3837C","car-3-ene","",NA
"3152","3838C","cis-beta-elemene",NA,NA,"3838C","methyl (e)-dec-2-enoate","",NA
"3153","3839C","cis-beta-elemenone",NA,NA,"3839C","nonan-2-ol","",NA
"3154","383C","carotol",NA,NA,"383C","oplopanone","",NA
"3155","3840C","cis-beta-farnesene",NA,NA,"3840C","decylbutyrate","",NA
"3156","3841C","cis-beta-guaine",NA,NA,"3841C","dodecenyl acetate","",NA
"3157","3842C","cis-beta-ocimene (z)",NA,NA,"3842C","i-nonadecene","",NA
"3158","3843C","cis-beta-santalene",NA,NA,"3843C","(z)-5-decenyl acetate","",NA
"3159","3844C","cis-beta-santalol",NA,NA,"3844C","(z)-6-decenylacetate","",NA
"3160","3845C","cis-beta-sesquiphellandrol",NA,NA,"3845C","3-octenol","",NA
"3161","3846C","cis-beta-terpinyl acetate",NA,NA,"3846C","campholenol","",NA
"3162","3847C","cis-cabinene hydrate",NA,NA,"3847C","p-caryophyllene","",NA
"3163","3848C","cis-cadin-4-en-7-ol",NA,NA,"3848C","trans-p-mentha-1(7),2-dien-8-ol","",NA
"3164","3849C","cis-cadina-1(6), 4-diene",NA,NA,"3849C","(e)-isoeugenol acetate","",NA
"3165","384C","carvacrol",NA,NA,"384C","trans-alpha-bergamotene","",NA
"3166","3850C","cis-cadina-1(6),4-diene",NA,NA,"3850C","10-epi-y-eudesmol +1,10-di-epi-cubenol","",NA
"3167","3851C","cis-cadina-1(6),4diene",NA,NA,"3851C","1-epi-alpha-cadinol + delta-cadinol","",NA
"3168","3852C","cis-Cadina-1,4-diene",NA,NA,"3852C","2,4-dimethylhexane","",NA
"3169","3853C","cis-cadina-4-en-7-ol",NA,NA,"3853C","7-epi-y-eudesmol","",NA
"3170","3854C","cis-cadinalpha-1(6),4-diene",NA,NA,"3854C","beta-catyophyllene","",NA
"3171","3855C","cis-cadinalpha-1,4-diene",NA,NA,"3855C","beta-fenchyl alcohol","",NA
"3172","3856C","cis-calamen-10-ol",NA,NA,"3856C","cadina-1,4-diene+alpha-calacorene","",NA
"3173","3857C","cis-calamenen-10-ol",NA,NA,"3857C","cis-verbenol+trans-sabinol","",NA
"3174","3858C","cis-calamenenol",NA,NA,"3858C","diethyl malonate","",NA
"3175","3859C","cis-calamennee",NA,NA,"3859C","(e,z)-2,4-decadienal +2-nonenyl acetate","",NA
"3176","385C","carveol",NA,NA,"385C","trans-calamenene","",NA
"3177","3860C","cis-calaminene",NA,NA,"3860C","gleenol+(e)-nerolidol","",NA
"3178","3861C","cis-carvacrylacetate",NA,NA,"3861C","isobornylacetate","",NA
"3179","3862C","cis-carvotanacetol",NA,NA,"3862C","menthone+butylangelate","",NA
"3180","3863C","cis-carvyl acetate",NA,NA,"3863C","myrtenal + isoamyl tiglate","",NA
"3181","3864C","cis-caryophyllene",NA,NA,"3864C","selina-3,11-diene +bicyclogermacrene","",NA
"3182","3865C","cis-catveol",NA,NA,"3865C","(z)-3-hexenyl angelate+methyl naphthalene","",NA
"3183","3866C","cis-chrysantenol",NA,NA,"3866C","(z)-nerolidol + germacrene b","",NA
"3184","3867C","cis-chrysantenylacetate",NA,NA,"3867C","caryophylla-4(12),8(13)-diene-5beta-ol","",NA
"3185","3868C","cis-chrysanthemol",NA,NA,"3868C","(e)-trans-bergamota-2,12-dien-14-ol","",NA
"3186","3869C","cis-chrysanthenyl-alpha-methylbutrate + 3-epi-3,6,6,9-bisepoxyfarnesa-1,7(14),10-triene",NA,NA,"3869C","isopimar-9(11),15-diene","",NA
"3187","386C","carvone",NA,NA,"386C","(z)-beta-santalol acetate","",NA
"3188","3870C","cis-chrysanthenyl acetate",NA,NA,"3870C","linalool+trans-sabinenehydrate","",NA
"3189","3871C","cis-chrysanthenylactate",NA,NA,"3871C","piramadiene","",NA
"3190","3872C","cis-chrysanthenylangelate",NA,NA,"3872C","ar-abietatriene","",NA
"3191","3873C","cis-chrysanthenylisobutyrate",NA,NA,"3873C","(e)-alpha-trans-bergamotol","",NA
"3192","3874C","cis-chrysanthenyltiglate",NA,NA,"3874C","epi-spathulenol","",NA
"3193","3875C","cis-conferyl alcohol",NA,NA,"3875C","(e)-p-ocimene","",NA
"3194","3876C","cis-davanone (1)",NA,NA,"3876C","hexanoi","",NA
"3195","3877C","cis-dehydrocarvone",NA,NA,"3877C","trans-alpha-bergamotene + p-caryophyllene","",NA
"3196","3878C","cis-dehydroxylinalooloxide",NA,NA,"3878C","11-selinen-4-ol","",NA
"3197","3879C","cis-delta-guaiene",NA,NA,"3879C","alpha-sabinene","",NA
"3198","387C","caryophylla-2(12),6-dien-5alpha-ol (=caryophyllenol i)",NA,NA,"387C","(z,e)-farnesyl acetate","",NA
"3199","3880C","cis-dictamnol",NA,NA,"3880C","beta-caryophyllene+trans-alpha-bergamotene","",NA
"3200","3881C","cis-didhydrocarvon",NA,NA,"3881C","delta-terpinene","",NA
"3201","3882C","cis-dihydro-alpha-terpinylacetate",NA,NA,"3882C","isopimar-9(11)-15-dien","",NA
"3202","3883C","cis-dihydro-mayuronea",NA,NA,"3883C","p-mentha-4(18)-dien","",NA
"3203","3884C","cis-dihydro carvone",NA,NA,"3884C","trans-alpha-bergamotol acetate","",NA
"3204","3885C","cis-dihydroagarofuran",NA,NA,"3885C","amyl benzoate","",NA
"3205","3886C","cis-dihydrocarveol",NA,NA,"3886C","cis-mentha-1,8-dien-6-ol","",NA
"3206","3887C","cis-dihydromayurone",NA,NA,"3887C","methyl (z)-3-dodecenoate","",NA
"3207","3888C","cis-dihydrooccidentalol",NA,NA,"3888C","nerolidol oxide (furanoid)","",NA
"3208","3889C","cis-dihydrooccidentalol acetate",NA,NA,"3889C","p-cyrnene","",NA
"3209","388C","caryophylla-2(12),6-dien-5-beta-ol",NA,NA,"388C","calamenenol","",NA
"3210","3890C","cis-en-in-dicycloether",NA,NA,"3890C","(z)-3-dodecenoic acid","",NA
"3211","3891C","cis-en-yn-bicycloether",NA,NA,"3891C","isopinocarnphone","",NA
"3212","3892C","cis-epi-beta-santalol",NA,NA,"3892C","alpha-kaurene","",NA
"3213","3893C","cis-eudesma-6,11-diene",NA,NA,"3893C","4-methoxysafrole","",NA
"3214","3894C","cis-eudesmalpha-6,11-diene",NA,NA,"3894C","14-hydroxy 9-epi-beta-caryophyllene","",NA
"3215","3895C","cis-farnesal",NA,NA,"3895C","3-methyl-2-butenylisovalerate","",NA
"3216","3896C","cis-furanoidlinalooloxide",NA,NA,"3896C","3-methyl-3-butenyl-isovalerate","",NA
"3217","3897C","cis-gamma-bisabolene",NA,NA,"3897C","alpha-terpinyl formate","",NA
"3218","3898C","cis-geranyl acetate",NA,NA,"3898C","cis-piperitolacetate","",NA
"3219","3899C","cis-germacrene epoxide",NA,NA,"3899C","trans-caveol","",NA
"3220","389C","caryophylla-2(12),6-diene-5-beta-ol",NA,NA,"389C","citronellyl acetate","",NA
"3221","38C","(e)-nerolidol acetate",NA,NA,"38C","2-phenylethyl alcohol","",NA
"3222","3900C","cis-hex-3-enylacetate",NA,NA,"3900C","(e,z)-farnesal","",NA
"3223","3901C","cis-isocitral",NA,NA,"3901C","(z,e)-farnesal","",NA
"3224","3902C","cis-isodihydrocarvone",NA,NA,"3902C","thuja-2,4-diene","",NA
"3225","3903C","cis-isolongifolanone",NA,NA,"3903C","germacra-4(15),5,10(14)-trien-1-al","",NA
"3226","3904C","cis-isomyristicin",NA,NA,"3904C","isoabienol","",NA
"3227","3905C","cis-isopulegone",NA,NA,"3905C","methyl mrytenate","",NA
"3228","3906C","cis-isopulegonee",NA,NA,"3906C","trans-myrtanyl acetate","",NA
"3229","3907C","cis-lachnophyllumester",NA,NA,"3907C","amyl isobutyrate","",NA
"3230","3908C","cis-lanceol",NA,NA,"3908C","trans-thujone (beta-thujone)","",NA
"3231","3909C","cis-limonene",NA,NA,"3909C","(1r,3s)-cembra-4,7,11,15-tetraen-3-ol","",NA
"3232","390C","caryophylla-4(14),8(15)-diene-5-alpha-ol",NA,NA,"390C","isophytol","",NA
"3233","3910C","cis-limonene oxide",NA,NA,"3910C","8(14),15-sandaracopimaradien","",NA
"3234","3911C","cis-limoneneoxide+cis-p-mentha-2,8-dien-1-ol",NA,NA,"3911C","alpha-terpenyl acetate","",NA
"3235","3912C","cis-linalool",NA,NA,"3912C","sclarene","",NA
"3236","3913C","cis-linalool oxide",NA,NA,"3913C","trans-beta-dihydroterpineol","",NA
"3237","3914C","cis-linalool oxide (furanoid)",NA,NA,"3914C","13-epi-manoyl oxide","",NA
"3238","3915C","cis-linalool oxide (pyranoid)",NA,NA,"3915C","3-hydro-farnesol","",NA
