compound_identifier,EssOilDB_entry,,original_name,cleaned_name,name_comments,compound_id
3013C,alpha-pinene epoxide,,NA,NA,NA,
3014C,alpha-pinene oxide,,NA,NA,NA,
3015C,alpha-pinene oxide isomer1,,NA,NA,NA,
3016C,alpha-pinene+alpha-thujene,,NA,NA,NA,
3017C,alpha-pineneâ,,NA,NA,NA,
3018C,alpha-pineneoxide,,NA,NA,NA,
3019C,alpha-pinocaweol,,NA,NA,NA,
3020C,alpha-sabinene,,NA,NA,NA,
3021C,alpha-santalal,,NA,NA,NA,
3022C,alpha-santaldiol,,NA,NA,NA,
3023C,alpha-santalen-12-one,,NA,NA,NA,
3024C,alpha-santalol,,NA,NA,NA,
3025C,alpha-santonin,,NA,NA,NA,
3026C,alpha-sedrene,,NA,NA,NA,
3027C,alpha-selina-11-en-4-alpha-ol,,NA,NA,NA,
3028C,alpha-selina-11-en 4-ol,,NA,NA,NA,
3029C,alpha-selinen-3-one,,NA,NA,NA,
3030C,alpha-sesquiphellandrene,,NA,NA,NA,
3031C,alpha-sinensal,,NA,NA,NA,
3032C,alpha-teresantalic acid,,NA,NA,NA,
3033C,alpha-termerone,,NA,NA,NA,
3034C,alpha-terpenyl acetate,,NA,NA,NA,
3035C,alpha-terpinen,,NA,NA,NA,
3036C,alpha-terpinen-7-al,,NA,NA,NA,
3037C,"alpha-terpinene+1,4 cineole",,NA,NA,NA,
3038C,alpha-terpinene+p-cymene,,NA,NA,NA,
3039C,alpha-terpinenol,,NA,NA,NA,
3040C,alpha-terpineol bc,,NA,NA,NA,
3041C,alpha-terpineol+borneol,,NA,NA,NA,
3042C,alpha-terpinolene,,NA,NA,NA,
3043C,alpha-terpinyl isobutyrate,,NA,NA,NA,
3044C,alpha-terpinyl methyl ether,,NA,NA,NA,
3045C,alpha-terpinyl propionate,,NA,NA,NA,
3046C,alpha-terthiophene,,NA,NA,NA,
3047C,alpha-thujanol isomer,,NA,NA,NA,
3048C,alpha-thujenea,,NA,NA,NA,
3049C,alpha-thujone(cis),,NA,NA,NA,
3050C,alpha-tolualdehyde,,NA,NA,NA,
3051C,alpha-trans-2-bergamotol,,NA,NA,NA,
3052C,alpha-trans-bejarol,,NA,NA,NA,
3053C,alpha-tumerone,,NA,NA,NA,
3054C,alpha-turmerol,,NA,NA,NA,
3055C,alpha-turmerone,,NA,NA,NA,
3056C,alpha-umulene,,NA,NA,NA,
3057C,alpha-vetivone,,NA,NA,NA,
3058C,alpha-yalangene,,NA,NA,NA,
3059C,alpha-zingibirene,,NA,NA,NA,
3060C,alpha -bisabolol,,NA,NA,NA,
3061C,alpha -cadinol,,NA,NA,NA,
3062C,alpha -caryophyllene,,NA,NA,NA,
3063C,alpha -humulene,,NA,NA,NA,
3064C,alpha -pinene,,NA,NA,NA,
3065C,alpha -terpinene,,NA,NA,NA,
3066C,alpha -terpineol,,NA,NA,NA,
3067C,alpha -terpinolene,,NA,NA,NA,
3068C,alpha -thujene,,NA,NA,NA,
3069C,alpha -zingiberene,,NA,NA,NA,
3070C,alpha humulene,,NA,NA,NA,
3071C,alpha longipinenea,,NA,NA,NA,
3072C,alpha or beta-alaskene,,NA,NA,NA,
3073C,alpha pinene,,NA,NA,NA,
3074C,alpha terpineol,,NA,NA,NA,
3075C,alpha thujene,,NA,NA,NA,
3076C,"alpha,p-dimethylstyrene",,NA,NA,NA,
3077C,alpha−Εlemene,,NA,NA,NA,
3078C,alphaâmuurolene,,NA,NA,NA,
3079C,alphą-cadinol,,NA,NA,NA,
3080C,alphą-cedrene,,NA,NA,NA,
3081C,alphą-copaene,,NA,NA,NA,
3082C,alphą-cubebene,,NA,NA,NA,
3083C,alphą-humulene,,NA,NA,NA,
3084C,alphą-pinene,,NA,NA,NA,
3085C,alphą-thujene,,NA,NA,NA,
3086C,alphą-zingiberene,,NA,NA,NA,
3087C,alphalpha-acoradienea,,NA,NA,NA,
3088C,alphalpha-terpineol,,NA,NA,NA,
3089C,altractylone,,NA,NA,NA,
3090C,ambrox,,NA,NA,NA,
3091C,amorpha-4-en-10-alpha-ol,,NA,NA,NA,
3092C,"amorpha-4,11-diene",,NA,NA,NA,
3093C,"amorpha-4,7(11)-diene",,NA,NA,NA,
3094C,"amorpha-4,9-den-14-al",,NA,NA,NA,
3095C,"amorpha-4,9-dien-14-al",,NA,NA,NA,
3096C,"amorpha-4,9-dien-2-ol",,NA,NA,NA,
3097C,"amorpha-4,9-dien-2-ol germacra-4(15),5,10(14)-trien-1-alpha-ol",,NA,NA,NA,
3098C,"amorpha-4,9-dien-2 ol",,NA,NA,NA,
3099C,amorphene-3-en-9-ol,,NA,NA,NA,
3100C,amyl-2-methyl butyrate,,NA,NA,NA,
3101C,amyl acetate,,NA,NA,NA,
3102C,amyl benzoate,,NA,NA,NA,
3103C,amyl furan,,NA,NA,NA,
3104C,amyl hexanoate,,NA,NA,NA,
3105C,amyl isobutyrate,,NA,NA,NA,
3106C,amyl isovalerate,,NA,NA,NA,
3107C,amyl propionate,,NA,NA,NA,
3108C,amyl valerate,,NA,NA,NA,
3109C,an acorene,,NA,NA,NA,
3110C,an allo-ocimene,,NA,NA,NA,
3111C,an amyl acetate,,NA,NA,NA,
3112C,an amyl cinnamate (tent.),,NA,NA,NA,
3113C,an amyl valerate,,NA,NA,NA,
3114C,"an oxygenated diterpenoid, mwt = 290",,NA,NA,NA,
3115C,an unsaturated or cyclic hydrocarbon,,NA,NA,NA,
3116C,anastreptene,,NA,NA,NA,
3117C,androencecalinol,,NA,NA,NA,
3118C,anethol,,NA,NA,NA,
3119C,anethole,,NA,NA,NA,
3120C,angelicin,,NA,NA,NA,
3121C,angelylangelate,,NA,NA,NA,
3122C,anisaldehyde,,NA,NA,NA,
3123C,anisic acid,,NA,NA,NA,
3124C,anisketone,,NA,NA,NA,
3125C,anisole,,NA,NA,NA,
3126C,anisyl isobutyrate,,NA,NA,NA,
3127C,anthracene,,NA,NA,NA,
3128C,apathulenol,,NA,NA,NA,
3129C,apiol dill,,NA,NA,NA,
3130C,aplotaxene,,NA,NA,NA,
3131C,apocarotenoids,,NA,NA,NA,
3132C,apodophyllone,,NA,NA,NA,
3133C,apole,,NA,NA,NA,
3134C,apritone,,NA,NA,NA,
3135C,ar-abietatriene,,NA,NA,NA,
3136C,ar-alpha-dehydrohimachalene,,NA,NA,NA,
3137C,ar-curcumen-15-al,,NA,NA,NA,
3138C,ar-curcumen-7-ol,,NA,NA,NA,
3139C,ar-curcumene+beta-selinene,,NA,NA,NA,
3140C,ar-dihydro-turmerone,,NA,NA,NA,
3141C,ar-himachalene,,NA,NA,NA,
3142C,ar-tumerol,,NA,NA,NA,
3143C,ar-turmerone,,NA,NA,NA,
3144C,arachidic acid,,NA,NA,NA,
3145C,aristolediene,,NA,NA,NA,
3146C,aristolene,,NA,NA,NA,
3147C,aristoleneepoxide,,NA,NA,NA,
3148C,aristolochene,,NA,NA,NA,
3149C,arnicenone,,NA,NA,NA,
3150C,aromadandrene,,NA,NA,NA,
3151C,aromadedrene,,NA,NA,NA,
3152C,aromadenderene,,NA,NA,NA,
3153C,"aromadendra-1 (10), 4 (15)-diene",,NA,NA,NA,
3154C,"aromadendra-4,10(14)-diene",,NA,NA,NA,
3155C,"aromadendralpha-4,10(14)-diene",,NA,NA,NA,
3156C,aromadendren epoxide,,NA,NA,NA,
3157C,aromadendrene-5-ol,,NA,NA,NA,
3158C,aromadendrene 3,,NA,NA,NA,
3159C,aromadendrene epoxide,,NA,NA,NA,
3160C,aromadendrene oxide– (2),,NA,NA,NA,
3161C,aromadendrenec,,NA,NA,NA,
3162C,aromadenrene,,NA,NA,NA,
3163C,Aromadrendrene,,NA,NA,NA,
3164C,aromatic compounds,,NA,NA,NA,
3165C,arteannuic alcohol,,NA,NA,NA,
3166C,artedouglasia oxide c,,NA,NA,NA,
3167C,artedouglosia oxide a,,NA,NA,NA,
3168C,artedouglosia oxide d,,NA,NA,NA,
3169C,artemesia alcohol,,NA,NA,NA,
3170C,artemesia ketone,,NA,NA,NA,
3171C,artemiseole,,NA,NA,NA,
3172C,artemisia alcohol+camphenilone,,NA,NA,NA,
3173C,artemisia triene,,NA,NA,NA,
3174C,artemisiatriene,,NA,NA,NA,
3175C,artemisyl acetate,,NA,NA,NA,
3176C,artemisylacetate,,NA,NA,NA,
3177C,artmisia ketone,,NA,NA,NA,
3178C,ascaridol,,NA,NA,NA,
3179C,ascaridole,,NA,NA,NA,
3180C,atractylone,,NA,NA,NA,
3181C,avandulyl acetate,,NA,NA,NA,
3182C,avocadenofuran,,NA,NA,NA,
3183C,avocadienofuran,,NA,NA,NA,
3184C,avocadofuran,,NA,NA,NA,
3185C,avocadynofuran,,NA,NA,NA,
3186C,b-copaene,,NA,NA,NA,
3187C,baeckeol,,NA,NA,NA,
3188C,baeckeol methyl ether,,NA,NA,NA,
3189C,baeckeol mettyl ether,,NA,NA,NA,
3190C,behenic acid,,NA,NA,NA,
3191C,bejarol derivative,,NA,NA,NA,
3192C,bejarol isomer,,NA,NA,NA,
3193C,benayl-2-methylbutyrate,,NA,NA,NA,
3194C,bennzyl benzoate,,NA,NA,NA,
3195C,benzenacetaldehyde,,NA,NA,NA,
3196C,benzene,,NA,NA,NA,
3197C,benzene dicarboxylic acid derivative,,NA,NA,NA,
3198C,benzenemethanethiola,,NA,NA,NA,
3199C,benzenoid compounds,,NA,NA,NA,
3200C,benzofuran,,NA,NA,NA,
3201C,benzoic acid,,NA,NA,NA,
3202C,benzonitrile,,NA,NA,NA,
3203C,benzophenone,,NA,NA,NA,
3204C,benzothiajole,,NA,NA,NA,
3205C,benzothiazole,,NA,NA,NA,
3206C,Benzoyl acetone,,NA,NA,NA,
3207C,benzyl,,NA,NA,NA,
3208C,benzyl-2-methylbutyrate,,NA,NA,NA,
3209C,benzyl-2-methylbutyrate + phenylethyl isobutyrate,,NA,NA,NA,
3210C,benzyl-3-hydroxybutyrate,,NA,NA,NA,
3211C,benzyl acetate,,NA,NA,NA,
3212C,benzyl acetone,,NA,NA,NA,
3213C,benzyl butanoate,,NA,NA,NA,
3214C,benzyl cinnamate,,NA,NA,NA,
3215C,benzyl crotonate,,NA,NA,NA,
3216C,benzyl cyanide,,NA,NA,NA,
3217C,benzyl dodecanoate,,NA,NA,NA,
3218C,benzyl ethyl ketone,,NA,NA,NA,
3219C,benzyl formate,,NA,NA,NA,
3220C,benzyl hexanoate,,NA,NA,NA,
3221C,benzyl isobutyrate,,NA,NA,NA,
3222C,benzyl isothiocyanate,,NA,NA,NA,
3223C,benzyl isothiocynate,,NA,NA,NA,
3224C,benzyl isovalerate+geranyl 2-methylbutyrate,,NA,NA,NA,
3225C,benzyl isovalorate,,NA,NA,NA,
3226C,benzyl nitrite,,NA,NA,NA,
3227C,benzyl propanoate,,NA,NA,NA,
3228C,benzyl propionate,,NA,NA,NA,
3229C,benzyl salicyclate,,NA,NA,NA,
3230C,benzyl tiglate,,NA,NA,NA,
3231C,benzyl valerate,,NA,NA,NA,
3232C,benzylmethylchetone,,NA,NA,NA,
3233C,bergamal,,NA,NA,NA,
3234C,"bergamotene (z,alpha,trans)",,NA,NA,NA,
3235C,berol,,NA,NA,NA,
3236C,beta- cadinene,,NA,NA,NA,
3237C,beta- elemene,,NA,NA,NA,
3238C,beta- pinene,,NA,NA,NA,
3239C,beta- selinene,,NA,NA,NA,
3240C,beta-(10)-aristolene,,NA,NA,NA,
3241C,beta-(e)-ionone,,NA,NA,NA,
3242C,beta-(z)-curcumen-12-ol,,NA,NA,NA,
3243C,beta-(z)-ocimene,,NA,NA,NA,
3244C,beta-4(15)-cubebene,,NA,NA,NA,
3245C,beta-acoradienol,,NA,NA,NA,
3246C,beta-acorenol,,NA,NA,NA,
3247C,beta-agarofuran,,NA,NA,NA,
3248C,beta-alaskene,,NA,NA,NA,
3249C,beta-amorphene,,NA,NA,NA,
3250C,beta-amyrin,,NA,NA,NA,
3251C,beta-asarone,,NA,NA,NA,
3252C,beta-atlantone,,NA,NA,NA,
3253C,beta-barbatene,,NA,NA,NA,
3254C,beta-bergamotene,,NA,NA,NA,
3255C,beta-betulenal,,NA,NA,NA,
3256C,beta-biotol,,NA,NA,NA,
3257C,beta-bisabolen-12-ol,,NA,NA,NA,
3258C,beta-bisabolenal,,NA,NA,NA,
3259C,beta-bisabolene-12-ol,,NA,NA,NA,
3260C,beta-bisabolene+bicyclogermacrene,,NA,NA,NA,
3261C,beta-bisabolenol,,NA,NA,NA,
3262C,beta-bisabolol/epi-beta-bisabolol,,NA,NA,NA,
3263C,beta-bisabololoxide,,NA,NA,NA,
3264C,beta-bourbenene,,NA,NA,NA,
3265C,beta-bourbonene+geranyl acetate,,NA,NA,NA,
3266C,beta-bourbononene,,NA,NA,NA,
3267C,beta-bourbounene,,NA,NA,NA,
3268C,beta-bulnesene,,NA,NA,NA,
3269C,beta-cadinol,,NA,NA,NA,
3270C,beta-calacarene,,NA,NA,NA,
3271C,beta-calacorene,,NA,NA,NA,
3272C,beta-calacorene+unknown,,NA,NA,NA,
3273C,beta-campholenal,,NA,NA,NA,
3274C,beta-caryophylene,,NA,NA,NA,
3275C,beta-caryophyllen,,NA,NA,NA,
3276C,beta-caryophyllene-oxide,,NA,NA,NA,
3277C,beta-caryophyllene (+ beta-cedrene),,NA,NA,NA,
3278C,beta-caryophyllene + beta-elemene,,NA,NA,NA,
3279C,beta-caryophyllene oxide/globulol,,NA,NA,NA,
3280C,beta-caryophyllene+lavandulyl acetate,,NA,NA,NA,
3281C,beta-caryophyllene+terpinen-4-ol,,NA,NA,NA,
3282C,beta-caryophyllene+trans-alpha-bergamotene,,NA,NA,NA,
3283C,beta-caryophylleneoxide,,NA,NA,NA,
3284C,beta-caryophyylene,,NA,NA,NA,
3285C,beta-caryopyllene,,NA,NA,NA,
3286C,beta-catyophyllene,,NA,NA,NA,
3287C,beta-cedrene epoxide,,NA,NA,NA,
3288C,beta-celinene,,NA,NA,NA,
3289C,beta-chamigrene,,NA,NA,NA,
3290C,beta-chlorophyll,,NA,NA,NA,
3291C,beta-citral,,NA,NA,NA,
3292C,beta-citronellol,,NA,NA,NA,
3293C,beta-citronellol + nerol,,NA,NA,NA,
3294C,beta-copaen-4-alpha-ol isomer-i,,NA,NA,NA,
3295C,beta-copaen-4-beta-ol,,NA,NA,NA,
3296C,beta-copaen-4-ol,,NA,NA,NA,
3297C,beta-copaen-4-ol e,,NA,NA,NA,
3298C,beta-copaen-4-ol isomer-ii,,NA,NA,NA,
3299C,beta-Copaen-4alpha-ol,,NA,NA,NA,
3300C,beta-copaen4alpha-ol,,NA,NA,NA,
3301C,beta-copaene-4-alpha-ol,,NA,NA,NA,
3302C,beta-copaene*,,NA,NA,NA,
3303C,beta-copaene+2-hexyl-cyclopropane acetic acid,,NA,NA,NA,
3304C,beta-costol,,NA,NA,NA,
3305C,beta-cubebene*,,NA,NA,NA,
3306C,beta-cubebene+beta-elemene,,NA,NA,NA,
3307C,beta-cubebeneâ ,,NA,NA,NA,
3308C,beta-cubebened,,NA,NA,NA,
3309C,beta-cubenene,,NA,NA,NA,
3310C,beta-cubenone,,NA,NA,NA,
3311C,beta-curcumene,,NA,NA,NA,
3312C,beta-cyclocostunolide,,NA,NA,NA,
3313C,beta-cycloelemene,,NA,NA,NA,
3314C,beta-damascone,,NA,NA,NA,
3315C,beta-delta-cadinene,,NA,NA,NA,
3316C,beta-dihydro agarofuran,,NA,NA,NA,
3317C,beta-dihydroagorafuran,,NA,NA,NA,
3318C,beta-duprezianene,,NA,NA,NA,
3319C,beta-e-damascenone,,NA,NA,NA,
3320C,beta-eksantalal,,NA,NA,NA,
3321C,beta-elaskene,,NA,NA,NA,
3322C,beta-elememe,,NA,NA,NA,
3323C,beta-elemene + terpinen-4-ol,,NA,NA,NA,
3324C,beta-elemene isomer,,NA,NA,NA,
3325C,beta-elemene*,,NA,NA,NA,
3326C,beta-elemenone,,NA,NA,NA,
3327C,beta-elemol,,NA,NA,NA,
3328C,beta-elmene,,NA,NA,NA,
3329C,beta-emene,,NA,NA,NA,
3330C,beta-eudesmene,,NA,NA,NA,
3331C,beta-eudesmoi,,NA,NA,NA,
3332C,beta-eudesmol acetate,,NA,NA,NA,
3333C,beta-eudesrnol,,NA,NA,NA,
3334C,beta-famesene,,NA,NA,NA,
3335C,beta-farnacene,,NA,NA,NA,
3336C,beta-fenchol acetate,,NA,NA,NA,
3337C,beta-fenchyl acetate,,NA,NA,NA,
3338C,beta-fenchyl alcohol,,NA,NA,NA,
3339C,beta-Fencyl alcohol,,NA,NA,NA,
3340C,beta-funebrene,,NA,NA,NA,
3341C,beta-geranyl acetate,,NA,NA,NA,
3342C,beta-germacrenol,,NA,NA,NA,
3343C,beta-giurjunene,,NA,NA,NA,
3344C,beta-guaiaene,,NA,NA,NA,
3345C,beta-guaiene+alpha-humulene,,NA,NA,NA,
3346C,beta-guainene,,NA,NA,NA,
3347C,beta-gujunene,,NA,NA,NA,
3348C,beta-gurgunene,,NA,NA,NA,
3349C,beta-hexalactone,,NA,NA,NA,
3350C,beta-himachalene oxide,,NA,NA,NA,
3351C,beta-himachaleneoxide,,NA,NA,NA,
3352C,beta-himachallene,,NA,NA,NA,
3353C,beta-himachalol,,NA,NA,NA,
3354C,beta-homocyclocitral,,NA,NA,NA,
3355C,beta-ionane,,NA,NA,NA,
3356C,beta-ionaneepoxide,,NA,NA,NA,
3357C,beta-ionol,,NA,NA,NA,
3358C,"beta-ionone-5,6-epoxide",,NA,NA,NA,
3359C,beta-ionone epoxide,,NA,NA,NA,
3360C,beta-isocomene,,NA,NA,NA,
3361C,beta-isocumene,,NA,NA,NA,
3362C,beta-langene,,NA,NA,NA,
3363C,beta-logipinene,,NA,NA,NA,
3364C,beta-longipinene,,NA,NA,NA,
3365C,beta-maaliene,,NA,NA,NA,
3366C,beta-maliene,,NA,NA,NA,
3367C,beta-malliene,,NA,NA,NA,
3368C,beta-mircene,,NA,NA,NA,
3369C,beta-muurolene,,NA,NA,NA,
3370C,beta-muurolol,,NA,NA,NA,
3371C,beta-mycrene,,NA,NA,NA,
3372C,beta-ocimene,,NA,NA,NA,
3373C,beta-ocimene (e),,NA,NA,NA,
3374C,beta-ocimene (z),,NA,NA,NA,
3375C,beta-ocimene(e),,NA,NA,NA,
3376C,beta-opleponone,,NA,NA,NA,
3377C,beta-oplopenone,,NA,NA,NA,
3378C,beta-p-dimethylstyrene,,NA,NA,NA,
3379C,beta-patchoulene,,NA,NA,NA,
3380C,beta-pentadecanone,,NA,NA,NA,
3381C,beta-phallandrene,,NA,NA,NA,
3382C,beta-phelandrene,,NA,NA,NA,
3383C,beta-phellanderene,,NA,NA,NA,
3384C,beta-phellandren-8-ol,,NA,NA,NA,
3385C,beta-phellandrene/limonene,,NA,NA,NA,
3386C,"beta-phellandrene+1,8-cineole",,NA,NA,NA,
3387C,beta-phellandrene+limonenec,,NA,NA,NA,
3388C,beta-phenethyl acetate,,NA,NA,NA,
3389C,beta-phenethyl alcohol,,NA,NA,NA,
3390C,beta-pinene-ms,,NA,NA,NA,
3391C,beta-pinene oxide,,NA,NA,NA,
3392C,beta-pinene+6-methyl-5-hepten-3-one,,NA,NA,NA,
3393C,beta-pinene+myrcene,,NA,NA,NA,
3394C,beta-pinene+sabinene,,NA,NA,NA,
3395C,beta-pineneÂ oxide,,NA,NA,NA,
3396C,beta-pineneoxide,,NA,NA,NA,
3397C,beta-sabinene,,NA,NA,NA,
3398C,beta-sabinine,,NA,NA,NA,
3399C,beta-salinene,,NA,NA,NA,
3400C,beta-santalal,,NA,NA,NA,
3401C,beta-santaldiol,,NA,NA,NA,
3402C,beta-santalene+allo-aromadendrene,,NA,NA,NA,
3403C,beta-santalol,,NA,NA,NA,
3404C,beta-satalene,,NA,NA,NA,
3405C,beta-sedrene,,NA,NA,NA,
3406C,beta-selenine,,NA,NA,NA,
3407C,beta-selinene epoxide,,NA,NA,NA,
3408C,beta-selinene/beta-ionone,,NA,NA,NA,
3409C,beta-selinone,,NA,NA,NA,
3410C,beta-sesquiphelandrene,,NA,NA,NA,
3411C,beta-silinene,,NA,NA,NA,
3412C,beta-sinensal,,NA,NA,NA,
3413C,beta-sinesal,,NA,NA,NA,
3414C,beta-terpineol,,NA,NA,NA,
3415C,beta-thujanol,,NA,NA,NA,
3416C,beta-thujaplicin,,NA,NA,NA,
3417C,beta-thujaplicine,,NA,NA,NA,
3418C,beta-thujene,,NA,NA,NA,
3419C,beta-thujone(trans),,NA,NA,NA,
3420C,beta-trans-bejarol,,NA,NA,NA,
3421C,beta-trans-ocimene,,NA,NA,NA,
3422C,beta-turmerone,,NA,NA,NA,
3423C,beta-udesmol,,NA,NA,NA,
3424C,beta-vetivenene,,NA,NA,NA,
3425C,beta-vetivone,,NA,NA,NA,
3426C,beta - phellandrene,,NA,NA,NA,
3427C,beta -caryophyllene,,NA,NA,NA,
3428C,beta -Copaene,,NA,NA,NA,
3429C,beta -curcumene,,NA,NA,NA,
3430C,beta -eudesmol,,NA,NA,NA,
3431C,beta -gurjunene,,NA,NA,NA,
3432C,beta -pinene,,NA,NA,NA,
3433C,beta –pinene,,NA,NA,NA,
3434C,beta besabolol,,NA,NA,NA,
3435C,beta bisabolene,,NA,NA,NA,
3436C,beta caryophyllene,,NA,NA,NA,
3437C,beta copaene,,NA,NA,NA,
3438C,beta elemene,,NA,NA,NA,
3439C,beta farnesene,,NA,NA,NA,
3440C,beta funebrene,,NA,NA,NA,
3441C,beta myrcene,,NA,NA,NA,
3442C,beta−curcumene,,NA,NA,NA,
3443C,betacaryophyllene,,NA,NA,NA,
3444C,betalpha-atlantola,,NA,NA,NA,
3445C,betalpha-bisabolene,,NA,NA,NA,
3446C,betalpha-guainenea,,NA,NA,NA,
3447C,betalpha-himachalene,,NA,NA,NA,
3448C,betalpha-himachalene oxidea,,NA,NA,NA,
3449C,beyerene,,NA,NA,NA,
3450C,bht (antioxidant from diethyl ether),,NA,NA,NA,
3451C,bicicloelemene,,NA,NA,NA,
3452C,biciclogermacrene,,NA,NA,NA,
3453C,bicycle-germacrene,,NA,NA,NA,
3454C,bicyclene,,NA,NA,NA,
3455C,bicyclic germacrene,,NA,NA,NA,
3456C,bicyclo-elemene,,NA,NA,NA,
3457C,bicyclo-germacrene,,NA,NA,NA,
3458C,bicyclo-vetivenol,,NA,NA,NA,
3459C,"bicyclo [5.2.0] nonan, 2-methy",,NA,NA,NA,
3460C,"bicyclo[2.2.1]hept-2-ene,dimethyl",,NA,NA,NA,
3461C,"bicyclo[3.2.1]oct-2-ene,3-methyl-4-methylene",,NA,NA,NA,
3462C,bicyclodegermacrene,,NA,NA,NA,
3463C,bicyclofermacrene,,NA,NA,NA,
3464C,bicyclogemacrene,,NA,NA,NA,
3465C,bicyclogermacrene*,,NA,NA,NA,
3466C,bicyclogermacrene+epi-cubenol,,NA,NA,NA,
3467C,bicyclogerrnacrene,,NA,NA,NA,
3468C,bicyclogetmacrene,,NA,NA,NA,
3469C,bicyclosesquiphellandrene,,NA,NA,NA,
3470C,bifloratriene,,NA,NA,NA,
3471C,biotol,,NA,NA,NA,
3472C,biphenyl,,NA,NA,NA,
3473C,biphenyl oxide,,NA,NA,NA,
3474C,bis-(1-methylpropyl) disulfide,,NA,NA,NA,
3475C,bis-(1methylpropenyl) disulfide,,NA,NA,NA,
3476C,"bis-(2-ethyl hexyl)-1,2-benzene dicarboxylic acid ester",,NA,NA,NA,
3477C,bisabol-11-ol,,NA,NA,NA,
3478C,"bisabola-2,10-dien-6,13-diol",,NA,NA,NA,
3479C,bisabolene,,NA,NA,NA,
3480C,bisabolol,,NA,NA,NA,
3481C,bisabolol oxide,,NA,NA,NA,
3482C,bisabolol oxide a,,NA,NA,NA,
3483C,bisabolol oxide b,,NA,NA,NA,
3484C,bisabolone,,NA,NA,NA,
3485C,bisabolone oxide a,,NA,NA,NA,
3486C,Bornel,,NA,NA,NA,
3487C,borneol + linalool oxide (pyranoid),,NA,NA,NA,
3488C,"borneol, acetate",,NA,NA,NA,
3489C,"borneol/p-mentha-1,5-dien-8-ol",,NA,NA,NA,
3490C,borneol+delta-terpineol,,NA,NA,NA,
3491C,borneolÂ acetate,,NA,NA,NA,
3492C,borneole,,NA,NA,NA,
3493C,bornyl-2-methylbutyrate,,NA,NA,NA,
3494C,bornyl 2-methylbutyrate,,NA,NA,NA,
3495C,bornyl angelate,,NA,NA,NA,
3496C,bornyl benzoate,,NA,NA,NA,
3497C,bornyl isobutyrate,,NA,NA,NA,
3498C,bornyl isovalerate,,NA,NA,NA,
3499C,bornyl propionate,,NA,NA,NA,
3500C,bornyl valerate,,NA,NA,NA,
3501C,bornyl/isobornyl acetate,,NA,NA,NA,
3502C,bornylÂ isobutyrate,,NA,NA,NA,
3503C,bornylacetate,,NA,NA,NA,
3504C,bornylene,,NA,NA,NA,
3505C,bourbon-11-ene,,NA,NA,NA,
3506C,bourbonanol,,NA,NA,NA,
3507C,bourbonene,,NA,NA,NA,
3508C,brevifolin,,NA,NA,NA,
3509C,bulenesol,,NA,NA,NA,
3510C,bulnesene,,NA,NA,NA,
3511C,bulylated hydroxytoluene,,NA,NA,NA,
3512C,but-2-enal,,NA,NA,NA,
3513C,butan-1-ol,,NA,NA,NA,
3514C,butan-2-ol,,NA,NA,NA,
3515C,butan-2-one,,NA,NA,NA,
3516C,butanal,,NA,NA,NA,
3517C,butanol,,NA,NA,NA,
3518C,butanophenone,,NA,NA,NA,
3519C,butyl-(e)-cinnamate,,NA,NA,NA,
3520C,butyl-2-methyibutyrate,,NA,NA,NA,
3521C,butyl-2-methylbutyrate,,NA,NA,NA,
3522C,butyl-3-methylbutyrate,,NA,NA,NA,
3523C,butyl acetate,,NA,NA,NA,
3524C,butyl angelate,,NA,NA,NA,
3525C,butyl benzene,,NA,NA,NA,
3526C,butyl butyrate,,NA,NA,NA,
3527C,butyl crotonate,,NA,NA,NA,
3528C,butyl cyclohexane,,NA,NA,NA,
3529C,butyl decanoate,,NA,NA,NA,
3530C,butyl hexanoate,,NA,NA,NA,
3531C,butyl hydroxyanisole,,NA,NA,NA,
3532C,butyl isobutyrate,,NA,NA,NA,
3533C,butyl isothiocynate,,NA,NA,NA,
3534C,butyl isovalerate,,NA,NA,NA,
3535C,butyl nonanoate,,NA,NA,NA,
3536C,butyl octanoate,,NA,NA,NA,
3537C,butyl phthalate,,NA,NA,NA,
3538C,butyl phthalide,,NA,NA,NA,
3539C,butyl propionate,,NA,NA,NA,
3540C,butyl senecioate,,NA,NA,NA,
3541C,butyl tiglate,,NA,NA,NA,
3542C,butylated hydroxytoluene,,NA,NA,NA,
3543C,butyric,,NA,NA,NA,
3544C,butyric acid,,NA,NA,NA,
3545C,c15h26o unknown,,NA,NA,NA,
3546C,c19 alkane,,NA,NA,NA,
3547C,c23 ketone,,NA,NA,NA,
3548C,c4h9-angelate (a),,NA,NA,NA,
3549C,c4h9-angelate (b),,NA,NA,NA,
3550C,c5h11-angelate (c),,NA,NA,NA,
3551C,c6h13-angelate (d),,NA,NA,NA,
3552C,cabreuvaoxide-v,,NA,NA,NA,
3553C,cabreuvaoxide-vi,,NA,NA,NA,
3554C,"cadala-1(10),3,8-triene",,NA,NA,NA,
3555C,cadalened,,NA,NA,NA,
3556C,cadin-4-en-10-ol,,NA,NA,NA,
3557C,cadin-4-en-7-ol,,NA,NA,NA,
3558C,cadin-4-en-7-ol isomer,,NA,NA,NA,
3559C,"cadina-1(10),4-dien-14-ol(syn, 14-hydroxy-delta-cadinene",,NA,NA,NA,
3560C,"cadina-1,-6,4-diene",,NA,NA,NA,
3561C,"cadina-1,4-dien-3-ol",,NA,NA,NA,
3562C,"cadina-1,4-diene (=cubenene)",,NA,NA,NA,
