OPSIN_lookup_name	OPSIN_inchis	OPSIN_comments
(z)-p-menth-2-en-1-ol		Could not find bond that: <stereoChemistry type="EorZ" value="Z">z</stereoChemistry> was referring to
ethyl oleate	InChI=1/C20H38O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h11-12H,3-10,13-19H2,1-2H3/b12-11-	
guaiol isomer		guaiol isomer is unparsable due to the following being uninterpretable: guaiol isomer The following was not parseable: guaiol isomer
undecanol	InChI=1/C11H24O/c1-2-3-4-5-6-7-8-9-10-11-12/h12H,2-11H2,1H3	
isoamyl-2-methyl butyrate		Unable to assign all locants. This locant was not assigned: 2
1,10-epi-cubenol		'1,10-epi-cubenol'' is unparsable due to the following being uninterpretable: ''1,10-epi-cubenol'' The following was not parseable: ''1,10-epi-cubenol''
(e)-methyl isoeugenol	InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4+	
isoamyl hexanoate	InChI=1/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3	
pentadecanal	InChI=1/C15H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16/h15H,2-14H2,1H3	
thuja-2,4(10)-diene		'thuja-2,4(10)-diene'' is unparsable due to the following being uninterpretable: ''thuja-2,4(10)-diene'' The following was not parseable: ''thuja-2,4(10)-diene''
2-nonanone	InChI=1/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3	
beta-cedren-9-one		beta-cedren-9-one is unparsable due to the following being uninterpretable: beta-cedren-9-one The following was not parseable: cedren-9-one
alpha-eudesmol acetate		alpha-eudesmol acetate is unparsable due to the following being uninterpretable: alpha-eudesmol acetate The following was not parseable: udesmol acetate
ethyl isopentanoate	InChI=1/C7H14O2/c1-4-9-7(8)5-6(2)3/h6H,4-5H2,1-3H3	
alpha-ylangene		alpha-ylangene is unparsable due to the following being uninterpretable: alpha-ylangene The following was not parseable: ylangene
canfene		canfene is unparsable due to the following being uninterpretable: canfene The following was not parseable: canfene
alpha-phellandrene-8-ol		alpha-phellandrene-8-ol is unparsable due to the following being uninterpretable: alpha-phellandrene-8-ol The following was not parseable: phellandrene-8-ol
(z)-9-hexadecenoic acid	InChI=1/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-/f/h17H	
gamma-dehydro-ar-himachalene		gamma-dehydro-ar-himachalene is unparsable due to the following being uninterpretable: ar-himachalene The following was not parseable: ar-himachalene
cadin-alpha-1,4-diene		'cadin-alpha-1,4-diene'' is unparsable due to the following being uninterpretable: ''cadin-alpha-1,4-diene'' The following was not parseable: ''cadin-alpha-1,4-diene''
epi-globulol		epi-globulol is unparsable due to the following being uninterpretable: epi-globulol The following was not parseable: pi-globulol
2-methoxy-3-(1-methylpropyl)-pyrazine	InChI=1/C9H14N2O/c1-4-7(2)8-9(12-3)11-6-5-10-8/h5-7H,4H2,1-3H3	
palmitic acid	InChI=1/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/f/h17H	
citronellol	InChI=1/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3	
linalyl acetate	InChI=1/C12H20O2/c1-6-12(5,14-11(4)13)9-7-8-10(2)3/h6,8H,1,7,9H2,2-5H3	
isopulegyl acetate		isopulegyl acetate is unparsable due to the following being uninterpretable: isopulegyl acetate The following was not parseable: pulegyl acetate
nerolidol	InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3	
isoeogenol		isoeogenol is unparsable due to the following being uninterpretable: isoeogenol The following was not parseable: eogenol
benzene acetaldehyde	InChI=1/C6H6.C2H4O/c1-2-4-6-5-3-1;1-2-3/h1-6H;2H,1H3	
octacosane	InChI=1/C28H58/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-28H2,1-2H3	
valencene		valencene is unparsable due to the following being uninterpretable: valencene The following was not parseable: encene
3-hepten-2-one	InChI=1/C7H12O/c1-3-4-5-6-7(2)8/h5-6H,3-4H2,1-2H3	
neral	InChI=1/C10H16O/c1-9(2)5-4-6-10(3)7-8-11/h5,7-8H,4,6H2,1-3H3/b10-7-	
guaiazulene		guaiazulene is unparsable due to the following being uninterpretable: guaiazulene The following was not parseable: guaiazulene
allo-ocimene		allo-ocimene is unparsable due to the following being uninterpretable: allo-ocimene The following was not parseable: cimene
(e)-2-hexenal	InChI=1/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+	
precocene-i		precocene-i is unparsable due to the following being uninterpretable: precocene-i The following was not parseable: precocene-i
alpha-longipinene		alpha-longipinene is unparsable due to the following being uninterpretable: alpha-longipinene The following was not parseable: ongipinene
valerenal		valerenal is unparsable due to the following being uninterpretable: valerenal The following was not parseable: enal
p-menth-1-en-9-ol	InChI=1/C10H18O/c1-8-3-5-10(6-4-8)9(2)7-11/h3,9-11H,4-7H2,1-2H3	
2-nitroethanol	InChI=1/C2H5NO3/c4-2-1-3(5)6/h4H,1-2H2	
spathulenol+germacrene delta-4-ol		spathulenol+germacrene delta-4-ol is unparsable due to the following being uninterpretable: spathulenol+germacrene delta-4-ol The following was not parseable: spathulenol+germacrene delta-4-ol
nonacosane	InChI=1/C29H60/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-29H2,1-2H3	
beta- caryophyllene		beta- caryophyllene is unparsable due to the following being uninterpretable: beta- caryophyllene The following was not parseable:  caryophyllene
(z)-epoxy-ocimene		(z)-epoxy-ocimene is unparsable due to the following being uninterpretable: ocimene The following was not parseable: ocimene
1,3-elemadien-6-ol		'1,3-elemadien-6-ol'' is unparsable due to the following being uninterpretable: ''1,3-elemadien-6-ol'' The following was not parseable: ''1,3-elemadien-6-ol''
germacrene-b		germacrene-b is unparsable due to the following being uninterpretable: germacrene-b The following was not parseable: crene-b
pentanoic acid	InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H	
dehydro-p-cymene		locants are assumed to be required for the use of dehydro to be unambiguous
