compound_identifier,original_name,cleaned_name,IUPAC name,name_comments
3428C,beta -Copaene,,,
3429C,beta -curcumene,,,
3430C,beta -eudesmol,,,
3431C,beta -gurjunene,,,
3432C,beta -pinene,,,
3433C,beta –pinene,,,
3434C,beta besabolol,,,
3435C,beta bisabolene,,,
3436C,beta caryophyllene,,,
3437C,beta copaene,,,
3438C,beta elemene,,,
3439C,beta farnesene,,,
3440C,beta funebrene,,,
3441C,beta myrcene,,,
3442C,beta−curcumene,,,
3443C,betacaryophyllene,,,
3444C,betalpha-atlantola,,,
3445C,betalpha-bisabolene,,,
3446C,betalpha-guainenea,,,
3447C,betalpha-himachalene,,,
3448C,betalpha-himachalene oxidea,,,
3449C,beyerene,,,
3450C,bht (antioxidant from diethyl ether),,,
3451C,bicicloelemene,,,
3452C,biciclogermacrene,,,
3453C,bicycle-germacrene,,,
3454C,bicyclene,,,
3455C,bicyclic germacrene,,,
3456C,bicyclo-elemene,,,
3457C,bicyclo-germacrene,,,
3458C,bicyclo-vetivenol,,,
3459C,"bicyclo [5.2.0] nonan, 2-methy",,,
3460C,"bicyclo[2.2.1]hept-2-ene,dimethyl",,,
3461C,"bicyclo[3.2.1]oct-2-ene,3-methyl-4-methylene",,,
3462C,bicyclodegermacrene,,,
3463C,bicyclofermacrene,,,
3464C,bicyclogemacrene,,,
3465C,bicyclogermacrene*,,,
3466C,bicyclogermacrene+epi-cubenol,,,
3467C,bicyclogerrnacrene,,,
3468C,bicyclogetmacrene,,,
3469C,bicyclosesquiphellandrene,,,
3470C,bifloratriene,,,
3471C,biotol,,,
3472C,biphenyl,,,
3473C,biphenyl oxide,,,
3474C,bis-(1-methylpropyl) disulfide,,,
3475C,bis-(1methylpropenyl) disulfide,,,
3476C,"bis-(2-ethyl hexyl)-1,2-benzene dicarboxylic acid ester",,,
3477C,bisabol-11-ol,,,
3478C,"bisabola-2,10-dien-6,13-diol",,,
3479C,bisabolene,,,
3480C,bisabolol,,,
3481C,bisabolol oxide,,,
3482C,bisabolol oxide a,,,
3483C,bisabolol oxide b,,,
3484C,bisabolone,,,
3485C,bisabolone oxide a,,,
3486C,Bornel,,,
3487C,borneol + linalool oxide (pyranoid),,,
3488C,"borneol, acetate",,,
3489C,"borneol/p-mentha-1,5-dien-8-ol",,,
3490C,borneol+delta-terpineol,,,
3491C,borneolÂ acetate,,,
3492C,borneole,,,
3493C,bornyl-2-methylbutyrate,,,
3494C,bornyl 2-methylbutyrate,,,
3495C,bornyl angelate,,,
3496C,bornyl benzoate,,,
3497C,bornyl isobutyrate,,,
3498C,bornyl isovalerate,,,
3499C,bornyl propionate,,,
3500C,bornyl valerate,,,
3501C,bornyl/isobornyl acetate,,,
3502C,bornylÂ isobutyrate,,,
3503C,bornylacetate,,,
3504C,bornylene,,,
3505C,bourbon-11-ene,,,
3506C,bourbonanol,,,
3507C,bourbonene,,,
3508C,brevifolin,,,
3509C,bulenesol,,,
3510C,bulnesene,,,
3511C,bulylated hydroxytoluene,,,
3512C,but-2-enal,,,
3513C,butan-1-ol,,,
3514C,butan-2-ol,,,
3515C,butan-2-one,,,
3516C,butanal,,,
3517C,butanol,,,
3518C,butanophenone,,,
3519C,butyl-(e)-cinnamate,,,
3520C,butyl-2-methyibutyrate,,,
3521C,butyl-2-methylbutyrate,,,
3522C,butyl-3-methylbutyrate,,,
3523C,butyl acetate,,,
3524C,butyl angelate,,,
3525C,butyl benzene,,,
3526C,butyl butyrate,,,
3527C,butyl crotonate,,,
3528C,butyl cyclohexane,,,
3529C,butyl decanoate,,,
3530C,butyl hexanoate,,,
3531C,butyl hydroxyanisole,,,
3532C,butyl isobutyrate,,,
3533C,butyl isothiocynate,,,
3534C,butyl isovalerate,,,
3535C,butyl nonanoate,,,
3536C,butyl octanoate,,,
3537C,butyl phthalate,,,
3538C,butyl phthalide,,,
3539C,butyl propionate,,,
3540C,butyl senecioate,,,
3541C,butyl tiglate,,,
3542C,butylated hydroxytoluene,,,
3543C,butyric,,,
3544C,butyric acid,,,
3545C,c15h26o unknown,,,
3546C,c19 alkane,,,
3547C,c23 ketone,,,
3548C,c4h9-angelate (a),,,
3549C,c4h9-angelate (b),,,
3550C,c5h11-angelate (c),,,
3551C,c6h13-angelate (d),,,
3552C,cabreuvaoxide-v,,,
3553C,cabreuvaoxide-vi,,,
3554C,"cadala-1(10),3,8-triene",,,
3555C,cadalened,,,
3556C,cadin-4-en-10-ol,,,
3557C,cadin-4-en-7-ol,,,
3558C,cadin-4-en-7-ol isomer,,,
3559C,"cadina-1(10),4-dien-14-ol(syn, 14-hydroxy-delta-cadinene",,,
3560C,"cadina-1,-6,4-diene",,,
3561C,"cadina-1,4-dien-3-ol",,,
3562C,"cadina-1,4-diene (=cubenene)",,,
3563C,"cadina-1,4-diene (cubenene)",,,
3564C,"cadina-1,4 diene",,,
3565C,"cadina-3,5-dien",,,
3566C,"cadina-3,5-diene",,,
3567C,"cadina-4,10(15)-dien-3-one",,,
3568C,"cadina-4,10(15)-dien-8 beta-ol",,,
3569C,"cadina 1(2),4-diene",,,
3570C,"cadinaâ1,4-diene",,,
3571C,cadinadienol,,,
3572C,cadinadienol-i,,,
3573C,cadinadienol-ii,,,
3574C,"cadinalpha-1,4-diene",,,
3575C,"cadinalpha-3,5-diene",,,
3576C,"cadinalpha-l,4-diene",,,
3577C,"cadine-1,4-diene",,,
3578C,cadinene,,,
3579C,cadinene isomer,,,
3580C,cadranol,,,
3581C,cadrol,,,
3582C,caiamenene,,,
3583C,cajeputol,,,
3584C,calacorene hydrate 1,,,
3585C,calacorene hydrate 2,,,
3586C,calacorene isomer,,,
3587C,calacorenol,,,
3588C,calacorine,,,
3589C,calamanene,,,
3590C,"calamene-1,11-oxide",,,
3591C,calamenediol,,,
3592C,calamenen,,,
3593C,"calamenen-1,11-epoxide",,,
3594C,calamenene (cis+trans),,,
3595C,calamenene+geraniol,,,
3596C,calamenenea,,,
3597C,calamenenol,,,
3598C,calamenol,,,
3599C,calarene (=beta-gurjunene),,,
3600C,calarene(=beta-gurjunene),,,
3601C,calareneepoxide,,,
3602C,calarnenene,,,
3603C,calpha-bisabolene,,,
3604C,calyophylla-2(12)-6(13)-dien-5beta-ol,,,
3605C,cameroonal-7-alpha-ol,,,
3606C,camorphene,,,
3607C,camphen,,,
3608C,Camphene hydrate,,,
3609C,camphene+verbenene,,,
3610C,camphenilone,,,
3611C,camphenol,,,
3612C,camphenone,,,
3613C,campherenol,,,
3614C,camphhor,,,
3615C,camphjene,,,
3616C,campholaldehyde,,,
3617C,campholenal,,,
3618C,campholeneÂ alcohol,,,
3619C,campholenealdehyde,,,
3620C,campholenicaldehyde,,,
3621C,campholenol,,,
3622C,camphor*,,,
3623C,camphora,,,
3624C,camphore,,,
3625C,Camphoric acid,,,
3626C,camphot,,,
3627C,camphre,,,
3628C,cannabichromene,,,
3629C,cannabidiol,,,
3630C,canracrol,,,
3631C,capillene,,,
3632C,capillined,,,
3633C,capnellane-8-one,,,
3634C,capric acid,,,
3635C,caprylic acid,,,
3636C,car-2-ene,,,
3637C,car-3-ene,,,
3638C,car-3-ene-2-one,,,
3639C,car-4-ene,,,
3640C,caranone,,,
3641C,caranyl acetate i,,,
3642C,caratol,,,
3643C,"cardin-alpha-1,4-diene",,,
3644C,"caria-4(12),8(13)-dien-5-ol",,,
3645C,carissone,,,
3646C,carnphene,,,
3647C,carotola,,,
3648C,carryophyllene oxide,,,
3649C,Carvacrol methyl ether,,,
3650C,carvacrolÂ acetate,,,
3651C,carvacrolacetate,,,
3652C,carvacrolmethylether,,,
3653C,carvacryl acetate,,,
3654C,carvacrylacetate,,,
3655C,carvacrylmethyloxide,,,
3656C,carvavrol,,,
3657C,carvenone,,,
3658C,carvenoneoxide,,,
3659C,carveol(e),,,
3660C,carveone,,,
3661C,carvol,,,
3662C,carvomenthane,,,
3663C,carvomenthylacetate,,,
3664C,"carvon-1,2-oxide",,,
3665C,"carvone-1,2-oxide",,,
3666C,"carvone-8,9-oxide",,,
3667C,carvone hydrate,,,
3668C,carvone oxide,,,
3669C,carvotacetone acetate,,,
3670C,carvotanacetone,,,
3671C,carvotanacetone epoxide,,,
3672C,carvotane acetone,,,
3673C,carvyl acetate,,,
3674C,caryohyllene oxide,,,
3675C,caryolan-8-ol,,,
3676C,caryollalpha-4(14)-8(15)-dienol,,,
3677C,caryophylene oxide,,,
3678C,"caryophylla-1(12),8(15)-diene-14-ol",,,
3679C,caryophylla-2(12)-6-diene-5-alpha-ol,,,
3680C,caryophylla-2(12)-6-diene-5-beta-ol,,,
3681C,caryophylla-2(12)-6(13)-diene-5-ol,,,
3682C,"caryophylla-2(12),6-dien-5-alpha-ol",,,
3683C,"caryophylla-2(12),6-dien-5-ol",,,
3684C,"caryophylla-2(12),6-dien-5beta-ol",,,
3685C,"caryophylla-2(12),6-dien-5beta-ol (=caryophyllenol ii)",,,
3686C,"caryophylla-2(12),6-diene-5-alpha-ol",,,
3687C,"caryophylla-2(12),6-diene-5-ol",,,
3688C,"caryophylla-2(12),6-diene-5-one",,,
3689C,"caryophylla-2(12),6-diene-5alpha-ol",,,
3690C,"caryophylla-2(12),6(13)-dien-5alpha-ol (=caryophylladienol ii)",,,
3691C,"caryophylla-2(12),6(13)-dien-5beta-ol (=caryophylladienol i)",,,
3692C,"caryophylla-2(12),6(13)-diene-5-alpha-ol",,,
3693C,"caryophylla-2(12),6(13)-diene-5-beta-ol",,,
3694C,"caryophylla-2(12),6(13)-diene-5-on",,,
3695C,"caryophylla-2(12),6(13)-diene-5-one",,,
3696C,"caryophylla-2,6(13)-diene-5-alpha-ol",,,
3697C,caryophylla-3,,,
3698C,"caryophylla-3(15),7(14)-diene-6-ol",,,
3699C,"caryophylla-3,8( 13)-dien-5-beta-ol",,,
3700C,"caryophylla-3,8(13)-dien-5-beta-ol",,,
3701C,"caryophylla-3,8(13)-diene-5beta-ol",,,
3702C,"caryophylla-4(12),8(13)-dien-5-ol",,,
3703C,"caryophylla-4(12),8(13)-dien-5alpha-ol",,,
3704C,"caryophylla-4(12),8(13)-dien-5beta-ol",,,
3705C,"caryophylla-4(12),8(13)-diene-5-beta-ol",,,
3706C,"caryophylla-4(12),8(13)-diene-5-ol",,,
3707C,"caryophylla-4(12),8(13)-diene-5beta-ol",,,
3708C,"caryophylla-4(12),8(13)-diene-ol",,,
3709C,"caryophylla-4(14),8-diene-5-beta-ol",,,
3710C,"caryophylla-4(14),8-diene-5-ol",,,
3711C,"caryophylla-4(14),8(15)-diene-5-beta-ol",,,
3712C,"caryophylla-4(14),8(15)-diene-5-delta-ol",,,
3713C,"caryophylla-4(14),8(15)-diene-5-ol",,,
3714C,"caryophylla-alpha-2(12),6-dien-5-alpha-ol",,,
3715C,"caryophylla-alpha-2(12),6-dien-5-beta-ol",,,
3716C,"caryophylla-alpha-2(12),6(13)-dien-5-alpha-ol",,,
3717C,"caryophylla-alpha-2(12),6(13)-dien-5-one",,,
3718C,"caryophylla-alpha-2(12),6(13)-diene-5-beta-ol",,,
3719C,"caryophylla-alpha-4(12),8(13)-diene-5-beta-ol",,,
3720C,"caryophylla-alpha-4(14),8(15)- dien-5-alpha-ol",,,
3721C,"caryophylla-alpha-4(14),8(15)-dien-5-alpha-ol",,,
3722C,caryophylladienol-i,,,
3723C,caryophylladienol-ii,,,
3724C,caryophylladienol i,,,
3725C,caryophylladienol ii,,,
3726C,caryophylladienone,,,
3727C,caryophyllandienol,,,
3728C,caryophyllene-(i3)b,,,
3729C,caryophyllene (z),,,
3730C,caryophyllene acetate,,,
3731C,caryophyllene alcohol,,,
3732C,caryophyllene epoxide,,,
3733C,caryophyllene epoxide i,,,
3734C,caryophyllene epoxide ii,,,
3735C,caryophyllene oxide-i,,,
3736C,caryophyllene oxide-ii,,,
3737C,caryophyllene oxide (os),,,
3738C,Caryophyllene oxide +globulol,,,
3739C,caryophyllene oxide b,,,
3740C,caryophyllene oxide d,,,
3741C,caryophyllene oxide isomer,,,
3742C,caryophyllene oxide+globulol,,,
3743C,caryophyllenol,,,
3744C,caryophylline-(i3),,,
3745C,caryothyllene+it's oxide,,,
3746C,"caryphylla-2(12),6-diene-5-beta-ol",,,
3747C,"caryphylla-2(12),6(13)-dien-5-alpha-ol",,,
3748C,"caryphylla-2(12),6(13)-diene-5-beta-ol",,,
3749C,cedr-8-en-13-alpha-ol acetate,,,
3750C,cedr-8-en-13-ol,,,
3751C,cedr-8-en-13 aâo1,,,
3752C,cedr-8-en-15-ol,,,
3753C,cedr-8(15)-en-9-alpha-ol,,,
3754C,cedr-8(15)-en-9-alpha-ol acetate,,,
3755C,cedr-8(15)-en-9-alpha-yl acetate,,,
3756C,cedr-8(15)-en-9-ol acetate,,,
3757C,cedr-8(15)-en-9-ol e,,,
3758C,cedrane,,,
3759C,cedranol,,,
3760C,cedranone,,,
3761C,cedreanol,,,
3762C,cedren-13-ol(8),,,
3763C,cedroxide,,,
3764C,cedrylacetate,,,
3765C,cembrene,,,
3766C,cepibicyclosesquiphellandrene,,,
3767C,cetic acid,,,
3768C,chamigrene,,,
3769C,chartabomone,,,
3770C,chavibetol,,,
3771C,chavibetol acetate,,,
3772C,chavicol,,,
3773C,chavicol methyl ether,,,
3774C,chavicyl acetate,,,
3775C,chavicyl angelate,,,
3776C,chiiotasigma-calamenene,,,
3777C,chrysanthenone epoxide,,,
3778C,chrysanthenyl acetate,,,
3779C,chrysanthenyl propionate,,,
3780C,chyrsanthenone,,,
3781C,cineol,,,
3782C,cineole,,,
3783C,cinerolone,,,
3784C,cinnamaldehyde,,,
3785C,cinnamic acid,,,
3786C,cinnamic alcohol,,,
3787C,cinnamic aldehyde,,,
3788C,cinnamyl acetate,,,
3789C,cinnamyl butyrate,,,
3790C,cinnamyl tiglate,,,
3791C,cinnamyle acetate,,,
3792C,cis-(z)-alpha-bisabolene epoxide,,,
3793C,cis-/trans-calamenene,,,
3794C,cis-1-methyl-3-isopropyl-cyclopentane,,,
3795C,cis-1-methyl-4(1-methylethenyl) cyclohexane,,,
3796C,"cis-1,2-epoxyterpinen-4-ol",,,
3797C,"cis-1,2-limoneneepoxide",,,
3798C,cis-14-muurol-5-en-4-one,,,
3799C,cis-14-muurolol-5-en-4-one,,,
3800C,cis-14-nor-muurol-5-en-4-one,,,
3801C,cis-2-(4-methylcyclohexyl)-1-propan-2-ol,,,
3802C,cis-2-methyl-3-methylene-5-heptene,,,
3803C,cis-2-methyl-3-methylenehept-5-ene,,,
3804C,cis-2-pentylcyclopropane-1-carboxylic acid,,,
3805C,"cis-2,3-pinane diol",,,
3806C,"cis-2,3-pinanediol",,,
3807C,"cis-2,7-dimethyl-4-octen-2,7-diol",,,
3808C,"cis-2,8-p-menthadien-1-ol",,,
3809C,cis-3-hexenyl isovalerate,,,
3810C,cis-3-hexenylacetate,,,
3811C,cis-3-hexenylbenzoate,,,
3812C,cis-3-hexenylvalerate,,,
3813C,cis-3-hexnylisovalerate,,,
3814C,cis-3-pinanone,,,
3815C,cis-3 hexenol,,,
3816C,cis-4-caranone,,,
3817C,cis-5-hydroxycalamenene,,,
3818C,cis-6-hesperylone,,,
3819C,"cis-6,7-epoxyocimene",,,
3820C,cis-abienol,,,
3821C,cis-allo-ocimene,,,
3822C,cis-alpha-bergamoten,,,
3823C,cis-alpha-bergamotene + alpha-cedrene,,,
3824C,cis-alpha-bergamotene  a-cedrene,,,
3825C,cis-alpha-bergamotenea,,,
3826C,cis-alpha-bergamotol,,,
3827C,cis-alpha-bergaotene,,,
3828C,cis-alpha-bergarnotene,,,
3829C,cis-alpha-bisabolene,,,
3830C,cis-alpha-copaen-8-ol,,,
3831C,cis-alpha-santalol,,,
3832C,cis-anethole,,,
3833C,cis-anhydro linalool oxide,,,
3834C,cis-arbusculone,,,
3835C,cis-ascaridole,,,
3836C,cis-b-ocimene,,,
3837C,cis-bejarol,,,
3838C,cis-beta-elemene,,,
3839C,cis-beta-elemenone,,,
3840C,cis-beta-farnesene,,,
3841C,cis-beta-guaine,,,
3842C,cis-beta-ocimene (z),,,
3843C,cis-beta-santalene,,,
3844C,cis-beta-santalol,,,
3845C,cis-beta-sesquiphellandrol,,,
3846C,cis-beta-terpinyl acetate,,,
3847C,cis-cabinene hydrate,,,
3848C,cis-cadin-4-en-7-ol,,,
3849C,"cis-cadina-1(6), 4-diene",,,
3850C,"cis-cadina-1(6),4-diene",,,
3851C,"cis-cadina-1(6),4diene",,,
3852C,"cis-Cadina-1,4-diene",,,
3853C,cis-cadina-4-en-7-ol,,,
3854C,"cis-cadinalpha-1(6),4-diene",,,
3855C,"cis-cadinalpha-1,4-diene",,,
3856C,cis-calamen-10-ol,,,
3857C,cis-calamenen-10-ol,,,
3858C,cis-calamenenol,,,
3859C,cis-calamennee,,,
3860C,cis-calaminene,,,
3861C,cis-carvacrylacetate,,,
3862C,cis-carvotanacetol,,,
3863C,cis-carvyl acetate,,,
3864C,cis-caryophyllene,,,
3865C,cis-catveol,,,
3866C,cis-chrysantenol,,,
3867C,cis-chrysantenylacetate,,,
3868C,cis-chrysanthemol,,,
3869C,"cis-chrysanthenyl-alpha-methylbutrate + 3-epi-3,6,6,9-bisepoxyfarnesa-1,7(14),10-triene",,,
3870C,cis-chrysanthenyl acetate,,,
3871C,cis-chrysanthenylactate,,,
3872C,cis-chrysanthenylangelate,,,
3873C,cis-chrysanthenylisobutyrate,,,
3874C,cis-chrysanthenyltiglate,,,
3875C,cis-conferyl alcohol,,,
3876C,cis-davanone (1),,,
3877C,cis-dehydrocarvone,,,
3878C,cis-dehydroxylinalooloxide,,,
3879C,cis-delta-guaiene,,,
3880C,cis-dictamnol,,,
3881C,cis-didhydrocarvon,,,
3882C,cis-dihydro-alpha-terpinylacetate,,,
3883C,cis-dihydro-mayuronea,,,
3884C,cis-dihydro carvone,,,
3885C,cis-dihydroagarofuran,,,
3886C,cis-dihydrocarveol,,,
3887C,cis-dihydromayurone,,,
3888C,cis-dihydrooccidentalol,,,
3889C,cis-dihydrooccidentalol acetate,,,
3890C,cis-en-in-dicycloether,,,
3891C,cis-en-yn-bicycloether,,,
3892C,cis-epi-beta-santalol,,,
3893C,"cis-eudesma-6,11-diene",,,
3894C,"cis-eudesmalpha-6,11-diene",,,
3895C,cis-farnesal,,,
3896C,cis-furanoidlinalooloxide,,,
3897C,cis-gamma-bisabolene,,,
3898C,cis-geranyl acetate,,,
3899C,cis-germacrene epoxide,,,
3900C,cis-hex-3-enylacetate,,,
3901C,cis-isocitral,,,
3902C,cis-isodihydrocarvone,,,
3903C,cis-isolongifolanone,,,
3904C,cis-isomyristicin,,,
3905C,cis-isopulegone,,,
3906C,cis-isopulegonee,,,
3907C,cis-lachnophyllumester,,,
3908C,cis-lanceol,,,
3909C,cis-limonene,,,
3910C,cis-limonene oxide,,,
3911C,"cis-limoneneoxide+cis-p-mentha-2,8-dien-1-ol",,,
3912C,cis-linalool,,,
3913C,cis-linalool oxide,,,
3914C,cis-linalool oxide (furanoid),,,
3915C,cis-linalool oxide (pyranoid),,,
3916C,cis-linalool oxideÂ (furanoid),,,
3917C,cis-linalool oxidec,,,
3918C,cis-linaloolÂ oxideÂ (furanoid),,,
3919C,cis-linalooloxide (furan isomer),,,
3920C,cis-linalooloxide (furanoid form),,,
3921C,cis-linalooloxide (furanoid) b,,,
3922C,cis-linalooloxide (piranoid),,,
3923C,cis-linalooloxide (pyranoid),,,
3924C,cis-linalooloxideacetate,,,
3925C,cis-linelooloxide (furanoid),,,
3926C,"cis-m-mentha-2,8-diene",,,
3927C,"cis-mentha-1,8-dien-6-ol",,,
3928C,"cis-mentha-1,8-diene",,,
3929C,cis-mentha-2-en-1-ol,,,
3930C,"cis-mentha-alpha-1,8-dien-6-ol",,,
3931C,cis-menthone,,,
3932C,"cis-murola-4(14),5-diene",,,
3933C,"cis-murole-4(14),4-diene",,,
3934C,cis-muurol-5-en-4-alpha-ol,,,
3935C,cis-muurol-5-en-4-beta-ol,,,
3936C,cis-muurol-5-en-4-ol,,,
3937C,"cis-muurola-1(14),5-diene",,,
3938C,cis-muurola-3.5-diene,,,
3939C,"cis-muurola-4-(14), 5-diene",,,
3940C,"cis-muurola-4 (14),5-diene",,,
3941C,cis-muurola-4(14)-5-diene,,,
3942C,cis-muurola-4(14)-diene,,,
3943C,"cis-muurola-4(14),""5-diene",,,
3944C,"cis-muurola-4(14),5-diene",,,
3945C,cis-muurola-4(14)5-diene,,,
3946C,cis-muurola-4(15) 5-diene,,,
3947C,"cis-muurola-alpha-4(14),-5-diene",,,
3948C,"cis-muurola-alpha-4(14),5-diene",,,
3949C,"cis-muurole-3,5-diene",,,
3950C,"cis-muurole-4(14),5-diene",,,
3951C,"cis-muurula-3,5-diene",,,
3952C,cis-myrtanal,,,
3953C,cis-myrtanol,,,
3954C,cis-myrtenol,,,
3955C,cis-nerolidol,,,
3956C,cis-nuceferol,,,
3957C,cis-p-2-menthen-1-ol,,,
3958C,cis-p-menten-1-ol,,,
3959C,cis-p-menth-1-en-8-ol,,,
3960C,cis-p-menth-1-en-9-ol,,,
3961C,"cis-p-menth-2-en-1,8-diol",,,
3962C,cis-p-menth-2-en-7-ol,,,
3963C,cis-p-menth-2-ene-1-ol,,,
3964C,"cis-p-menth-3-en-1,2-diol",,,
3965C,cis-p-menth-8-en-2-ol,,,
3966C,cis-p-mentha-2-1-ol,,,
3967C,cis-p-mentha-2-en-1-ol,,,
3968C,cis-p-mentha-2-en-1-ol c,,,
3969C,"cis-p-mentha-2-en-1,8-diol",,,
3970C,"cis-p-mentha-2,6-dien-1-ol",,,
3971C,"cis-p-mentha-2,8-dien-8-ol",,,
3972C,"cis-p-mentha-2,8-trien-1-ol",,,
3973C,"cis-p-mentha-3-en-1,2-diol",,,
3974C,cis-p-menthen-1-ol,,,
3975C,cis-p-menthofuran-2-en-1-ol,,,
3976C,"cis-p-meth-2,8-dienol",,,
3977C,cis-p-metnth-2-en-1-ol,,,
3978C,cis-p-piperitol acetate,,,
3979C,cis-para-menth-2-en-1-ol,,,
3980C,cis-para-menth-2-ene-1-ol,,,
3981C,"cis-para-mentha-2,8-dien-1-ol",,,
3982C,cis-phytol,,,
3983C,cis-pinane,,,
3984C,cis-pinen-2-ol,,,
3985C,cis-pinene,,,
3986C,cis-pinenehydrate,,,
3987C,cis-pinocamphon,,,
3988C,cis-pinocarveol,,,
3989C,cis-pinocarvyl acetate,,,
3990C,cis-pinocarvylacetate,,,
3991C,cis-piperitolacetate,,,
3992C,cis-piperitone epoxide,,,
3993C,cis-piperitoneepoxide,,,
3994C,cis-piperitoneoxide,,,
3995C,cis-piperitylacetate,,,
3996C,cis-pulegol,,,
3997C,cis-rose oxide,,,
3998C,cis-rosefuran,,,
3999C,cis-roseoxide,,,
4000C,cis-sabenene acetate,,,
4001C,cis-sabinene hydrate/linalool,,,
4002C,cis-sabinene hydrate+linalool,,,
4003C,cis-sabineneÂ hydrate,,,
4004C,cis-sabinine hydrate,,,
4005C,cis-sabinol+methylsalicylate,,,
4006C,cis-sabinyl acetate,,,
4007C,cis-salvene,,,
4008C,cis-sesquilavandulol,,,
4009C,cis-sesquisabinene hydrate,,,
4010C,"cis-tent-muurola-3,5-diene",,,
4011C,cis-theaspirane,,,
4012C,cis-threo-davanafuran,,,
4013C,cis-thujan-4-ol,,,
4014C,cis-thujone,,,
4015C,cis-thujopsenal,,,
4016C,cis-thujopsene,,,
4017C,cis-totarol,,,
4018C,cis-valerenylacetate,,,
4019C,cis-verbena1,,,
4020C,cis-verbenol+trans-sabinol,,,
4021C,cis-vertocitral,,,
4022C,cis-z-alpha-bisabolene epoxide,,,
4023C,cis - sabinene hydrate,,,
4024C,cis -3- hexenol,,,
4025C,cis -beta- ocimene,,,
4026C,citonellal,,,
4027C,citonellol,,,
4028C,citonellyl formate,,,
4029C,citral,,,
4030C,citral(neral+geranial),,,
4031C,citranellal,,,
4032C,citranellol,,,
4033C,citronella1,,,
4034C,citronellal dimmer,,,
4035C,citronellol+nerol,,,
4036C,citronellyl,,,
4037C,citronellyl angelate,,,
4038C,"citronellyl butyrate + trans-cadina-1(2),4-diene",,,
4039C,citronellyl caproate,,,
4040C,citronellyl citronellate,,,
4041C,citronellyl formate,,,
4042C,citronellyl propionate,,,
4043C,citronellyl valerate,,,
4044C,citronnellyl acetate,,,
4045C,citronnellyl butyrate,,,
4046C,citronnellylformiate,,,
4047C,citronnellyltiglate,,,
4048C,citronnellylvalerate,,,
4049C,compound a,,,
4050C,copaborneol,,,
4051C,copadiene,,,
4052C,copaene,,,
4053C,criptone,,,
4054C,cromolaenin,,,
4055C,cryptoacorone,,,
4056C,cryptomendiol,,,
4057C,cryptomeridiol,,,
4058C,cryptomerione,,,
4059C,cryptomerionet,,,
4060C,crytone,,,
4061C,cubeban-11-ol,,,
4062C,cubeben-11-ol,,,
4063C,cubebene,,,
4064C,cubebeta-11-ene,,,
4065C,cubebol*,,,
4066C,"cubenolÂ 1,10-di-epi",,,
4067C,cubitene,,,
4068C,cumene,,,
4069C,cumin alcohola,,,
4070C,cuminÂ alcohol,,,
4071C,cuminaldehyde,,,
4072C,cuminaldeyde,,,
4073C,cuminol,,,
4074C,cuminyl acetate,,,
4075C,cuminyl alcohol,,,
4076C,cuminyl formate,,,
4077C,cumol,,,
4078C,cunenol,,,
4079C,curcumanolide a,,,
4080C,curcumanolide b,,,
4081C,curcumene,,,
4082C,curcumenol,,,
4083C,curcumol,,,
4084C,curcuphenol,,,
4085C,curdione,,,
4086C,curninalcohol,,,
4087C,curzenene,,,
4088C,curzeone,,,
4089C,curzerone,,,
4090C,cyanophenol,,,
4091C,cyclamen aldehyde,,,
4092C,"cyclobuta (1,2:03,4) dicyclopentene",,,
4093C,cyclocitral,,,
4094C,cyclocolorenone,,,
4095C,cyclocolorenone isomer (ni 2),,,
4096C,"cyclocolorenone structure (ni 1), c15h22o, mw218",,,
4097C,cyclododecane,,,
4098C,cyclogermacrene,,,
4099C,cyclohexadecane,,,
4100C,cyclohexadecanolide,,,
4101C,cyclohexane 1-ethyl,,,
4102C,"cyclohexane 1,3-dimethyl-2-(1-methyle)",,,
4103C,cyclohexanecarboxylic acid,,,
4104C,cyclohexanic ketone,,,
4105C,cyclohexanol,,,
4106C,cyclohexene 1-methyl-4-(1-methyl),,,
4107C,cyclohexyl cyclohexane,,,
4108C,cycloisosativene,,,
4109C,cyclooctasulfur,,,
4110C,cyclopentadecanolide,,,
4111C,cyclopentadecanone,,,
4112C,"cyclopentanal-1,2-dimethyl-3(1-methylethenyl)",,,
4113C,cyclosantalal,,,
4114C,cyclosativen,,,
4115C,cyclosativine,,,
4116C,cycloseychellene,,,
4117C,cymen-8-ol,,,
4118C,cymene,,,
4119C,cymene<o>,,,
4120C,cymol,,,
4121C,"cypera-2,4-diene",,,
4122C,cyperenal,,,
4123C,cyperened,,,
4124C,cyperol,,,
4125C,cyperotundene,,,
4126C,cyperotundone,,,
4127C,cyprotene,,,
4128C,d-cadinene,,,
4129C,d-fenchone,,,
4130C,d-Germacrene,,,
4131C,d-limonene,,,
4132C,d-neralidol,,,
4133C,d-nerolidol,,,
4134C,damascenine,,,
4135C,"dauca-5,8-diene",,,
4136C,daucaneesters,,,
4137C,daucol,,,
4138C,davadone (i),,,
4139C,davadone (ii),,,
4140C,davadone (iii),,,
4141C,davana-bis-ether,,,
4142C,davana ether,,,
4143C,davanaether,,,
4144C,davanol,,,
4145C,davanone-2-ol,,,
4146C,davanone-2-ol-beta,,,
4147C,davanone b,,,
4148C,dealta-cadinene,,,
4149C,"deca-2e-en-4,6-diyn-1-isovalerate",,,
4150C,decahydronaphthalene,,,
4151C,decanal+perillaldehyde,,,
4152C,decanoicÂ acid,,,
4153C,"decenal,4z",,,
4154C,decyl acetate,,,
