"","clean_name","original_name","Compound_identifier","cid"
"2828","anthracene","anthracene","C3127",8418
"2829","apathulenol","apathulenol","C3128",NA
"2830","apiol dill","apiol dill","C3129",NA
"2831","apiole","apiole","C286",10659
"2832","aplotaxene","aplotaxene","C3130",5352710
"2833","apocarotenoids","apocarotenoids","C3131",NA
"2834","apodophyllone","apodophyllone","C3132",85768975
"2835","apole","apole","C3133",NA
"2836","apritone","apritone","C3134",6437428
"2837","ar-abietatriene","ar-abietatriene","C3135",6432211
"2838","ar-alpha-dehydrohimachalene","ar-alpha-dehydrohimachalene","C3136",NA
"2839","ar-curcumen-15-al","ar-curcumen-15-al","C3137",10846393
"2840","ar-curcumen-7-ol","ar-curcumen-7-ol","C3138",NA
"2841","ar-curcumene","ar-curcumene","C287",92139
"2842","ar-curcumene+beta-selinene","ar-curcumene+beta-selinene","C3139",NA
"2843","ar-dihydro-turmerone","ar-dihydro-turmerone","C3140",NA
"2844","ar-himachalene","ar-himachalene","C3141",11117119
"2845","ar-tumerol","ar-tumerol","C3142",5315469
"2846","ar-tumerone","ar-tumerone","C294",558221
"2847","ar-turmerol","ar-turmerol","C295",5315469
"2848","ar-turmerone","ar-turmerone","C3143",160512
"2849","arachidic acid","arachidic acid","C3144",10467
"2850","aristolediene","aristolediene","C3145",NA
"2851","aristolene","aristolene","C3146",530421
"2852","aristoleneepoxide","aristoleneepoxide","C3147",NA
"2853","aristolochene","aristolochene","C3148",161533
"2854","aristolone","aristolone","C288",165536
"2855","arnicenone","arnicenone","C3149",NA
"2856","aromadandrene","aromadandrene","C3150",NA
"2857","aromadedrene","aromadedrene","C3151",NA
"2858","aromadenderene","aromadenderene","C3152",NA
"2859","aromadendra-1 (10), 4 (15)-diene","aromadendra-1 (10), 4 (15)-diene","C3153",NA
"2860","aromadendra-4,10(14)-diene","aromadendra-4,10(14)-diene","C3154",NA
"2861","aromadendralpha-4,10(14)-diene","aromadendralpha-4,10(14)-diene","C3155",NA
"2862","aromadendren epoxide","aromadendren epoxide","C3156",NA
"2863","aromadendrene","aromadendrene","C289",91354
"2864","aromadendrene-5-ol","aromadendrene-5-ol","C3157",NA
"2865","aromadendrene 3","aromadendrene 3","C3158",NA
"2866","aromadendrene epoxide","aromadendrene epoxide","C3159",528759
"2867","aromadendrene oxide","aromadendrene oxide","C290",528759
"2868","aromadendrene oxide-(2)","aromadendrene oxide– (2)","C3160",NA
"2869","aromadendrenec","aromadendrenec","C3161",NA
"2870","aromadenrene","aromadenrene","C3162",NA
"2871","Aromadrendrene","Aromadrendrene","C3163",NA
"2872","aromatic compounds","aromatic compounds","C3164",NA
"2873","arteannuic alcohol","arteannuic alcohol","C3165",6430725
"2874","artedouglasia oxide c","artedouglasia oxide c","C3166",6427515
"2875","artedouglosia oxide a","artedouglosia oxide a","C3167",6427513
"2876","artedouglosia oxide d","artedouglosia oxide d","C3168",NA
"2877","artemesia alcohol","artemesia alcohol","C3169",NA
"2878","artemesia ketone","artemesia ketone","C3170",68346
"2879","artemiseole","artemiseole","C3171",521927
"2880","artemisia alcohol","artemisia alcohol","C291",100197
"2881","artemisia alcohol+camphenilone","artemisia alcohol+camphenilone","C3172",NA
"2882","artemisia ketone","artemisia ketone","C292",68346
"2883","artemisia triene","artemisia triene","C3173",5320377
"2884","artemisiaacetate","artemisiaacetate","C293",NA
"2885","artemisiatriene","artemisiatriene","C3174",5320377
"2886","artemisyl acetate","artemisyl acetate","C3175",524254
"2887","artemisylacetate","artemisylacetate","C3176",NA
"2888","artmisia ketone","artmisia ketone","C3177",NA
"2889","ascaridol","ascaridol","C3178",10545
"2890","ascaridole","ascaridole","C3179",10545
"2891","atlantone","atlantone","C296",NA
"2892","atractylone","atractylone","C3180",3080635
"2893","avandulyl acetate","avandulyl acetate","C3181",NA
"2894","avocadenofuran","avocadenofuran","C3182",6857792
"2895","avocadienofuran","avocadienofuran","C3183",131751100
"2896","avocadofuran","avocadofuran","C3184",NA
"2897","avocadynofuran","avocadynofuran","C3185",6857797
"2898","azulene","azulene","C297",9231
"2899","b-copaene","b-copaene","C3186",NA
"2900","baeckeol","baeckeol","C3187",NA
"2901","baeckeol methyl ether","baeckeol methyl ether","C3188",NA
"2902","baeckeol mettyl ether","baeckeol mettyl ether","C3189",NA
"2903","behenic acid","behenic acid","C3190",8215
"2904","bejarol derivative","bejarol derivative","C3191",NA
"2905","bejarol isomer","bejarol isomer","C3192",NA
"2906","benayl-2-methylbutyrate","benayl-2-methylbutyrate","C3193",NA
"2907","bennzyl benzoate","bennzyl benzoate","C3194",NA
"2908","benzaldehyde","benzaldehyde","C298",240
"2909","benzenacetaldehyde","benzenacetaldehyde","C3195",998
"2910","benzene","benzene","C3196",241
"2911","benzene acetaldehyde","benzene acetaldehyde","C299",NA
"2912","benzene dicarboxylic acid derivative","benzene dicarboxylic acid derivative","C3197",NA
"2913","benzenemethanethiola","benzenemethanethiola","C3198",NA
"2914","benzenepropanal","benzenepropanal","C300",7707
"2915","benzenoid compounds","benzenoid compounds","C3199",NA
"2916","benzocyclobutane","benzocyclobutane","C301",69667
"2917","benzofuran","benzofuran","C3200",9223
"2918","benzoic acid","benzoic acid","C3201",243
"2919","benzonitrile","benzonitrile","C3202",7505
"2920","benzophenone","benzophenone","C3203",3102
"2921","benzothiajole","benzothiajole","C3204",NA
"2922","benzothiazole","benzothiazole","C3205",7222
"2923","Benzoyl acetone","Benzoyl acetone","C3206",7166
"2924","benzyl","benzyl","C3207",123147
"2925","benzyl-2-methylbutyrate","benzyl-2-methylbutyrate","C3208",91849
"2926","benzyl-2-methylbutyrate + phenylethyl isobutyrate","benzyl-2-methylbutyrate + phenylethyl isobutyrate","C3209",NA
"2927","benzyl-3-hydroxybutyrate","benzyl-3-hydroxybutyrate","C3210",NA
"2928","benzyl acetate","benzyl acetate","C3211",8785
"2929","benzyl acetone","benzyl acetone","C3212",17355
"2930","benzyl alcohol","benzyl alcohol","C302",244
"2931","benzyl benzoate","benzyl benzoate","C303",2345
"2932","benzyl butanoate","benzyl butanoate","C3213",7650
"2933","benzyl butyrate","benzyl butyrate","C304",7650
"2934","benzyl cinnamate","benzyl cinnamate","C3214",5273469
"2935","benzyl crotonate","benzyl crotonate","C3215",5356259
"2936","benzyl cyanide","benzyl cyanide","C3216",8794
"2937","benzyl dodecanoate","benzyl dodecanoate","C3217",8791
"2938","benzyl ethyl ketone","benzyl ethyl ketone","C3218",13879
"2939","benzyl formate","benzyl formate","C3219",7708
"2940","benzyl hexanoate","benzyl hexanoate","C3220",23367
"2941","benzyl isobutyrate","benzyl isobutyrate","C3221",7646
"2942","benzyl isothiocyanate","benzyl isothiocyanate","C3222",2346
"2943","benzyl isothiocynate","benzyl isothiocynate","C3223",NA
"2944","benzyl isovalerate","benzyl isovalerate","C305",7651
"2945","benzyl isovalerate+geranyl 2-methylbutyrate","benzyl isovalerate+geranyl 2-methylbutyrate","C3224",NA
"2946","benzyl isovalorate","benzyl isovalorate","C3225",NA
"2947","benzyl nitrite","benzyl nitrite","C3226",136744
"2948","benzyl nonanoate","benzyl nonanoate","C306",80960
"2949","benzyl propanoate","benzyl propanoate","C3227",31219
"2950","benzyl propionate","benzyl propionate","C3228",31219
"2951","benzyl salicyclate","benzyl salicyclate","C3229",NA
"2952","benzyl salicylate","benzyl salicylate","C307",8363
"2953","benzyl tiglate","benzyl tiglate","C3230",250096
"2954","benzyl valerate","benzyl valerate","C3231",82584
"2955","benzylmethylchetone","benzylmethylchetone","C3232",NA
"2956","bergamal","bergamal","C3233",61016
"2957","bergamale","bergamale","C308",NA
"2958","bergamotene","bergamotene","C309",521569
"2959","bergamotene (z,alpha,trans)","bergamotene (z,alpha,trans)","C3234",NA
"2960","bergamotol acetate","bergamotol acetate","C310",NA
"2961","bergapten","bergapten","C311",2355
"2962","berol","berol","C3235",69182
"2963","beta-(10)-aristolene","beta-(10)-aristolene","C3240",NA
"2964","beta-(E)-ionone","beta-(e)-ionone","C3241",NA
"2965","beta-(Z)-curcumen-12-ol","beta-(z)-curcumen-12-ol","C3242",NA
"2966","beta-(Z)-ocimene","beta-(z)-ocimene","C3243",NA
"2967","beta-4(15)-cubebene","beta-4(15)-cubebene","C3244",NA
"2968","beta-acoradiene","beta-acoradiene","C313",5316209
"2969","beta-acoradienol","beta-acoradienol","C3245",NA
"2970","beta-acorenol","beta-acorenol","C3246",NA
"2971","beta-agarofuran","beta-agarofuran","C3247",NA
"2972","beta-alaskene","beta-alaskene","C3248",NA
"2973","beta-amorphene","beta-amorphene","C3249",NA
"2974","beta-amyrin","beta-amyrin","C3250",73145
"2975","beta-asarone","beta-asarone","C3251",5281758
"2976","beta-atlantol","beta-atlantol","C314",NA
"2977","beta-atlantone","beta-atlantone","C3252",181580
"2978","beta-barbatene","beta-barbatene","C3253",14109421
"2979","beta-bergamotene","beta-bergamotene","C3254",12300073
"2980","beta-betulenal","beta-betulenal","C3255",NA
"2981","beta-biotol","beta-biotol","C3256",NA
"2982","beta-bisabolen-12-ol","beta-bisabolen-12-ol","C3257",NA
"2983","beta-bisabolenal","beta-bisabolenal","C3258",NA
"2984","beta-bisabolene","beta-bisabolene","C315",10104370
"2985","beta-bisabolene-12-ol","beta-bisabolene-12-ol","C3259",NA
"2986","beta-bisabolene+bicyclogermacrene","beta-bisabolene+bicyclogermacrene","C3260",NA
"2987","beta-bisabolenol","beta-bisabolenol","C3261",NA
"2988","beta-bisabolol","beta-bisabolol","C316",27208
"2989","beta-bisabolol/epi-beta-bisabolol","beta-bisabolol/epi-beta-bisabolol","C3262",NA
"2990","beta-bisabololoxide","beta-bisabololoxide","C3263",NA
"2991","beta-bourbenene","beta-bourbenene","C3264",324224
"2992","beta-bourbonene","beta-bourbonene","C317",62566
"2993","beta-bourbonene+geranyl acetate","beta-bourbonene+geranyl acetate","C3265",NA
"2994","beta-bourbononene","beta-bourbononene","C3266",NA
"2995","beta-bourbounene","beta-bourbounene","C3267",NA
"2996","beta-bulnesene","beta-bulnesene","C3268",12302131
"2997","beta-cadinene","beta- cadinene","C3236",10657
"2998","beta-cadinene","beta- cadinene","C3236",10657
"2999","beta-cadinene","beta-cadinene","C318",10657
"3000","beta-cadinene","beta-cadinene","C318",10657
"3001","beta-cadinol","beta-cadinol","C3269",12302231
"3002","beta-calacarene","beta-calacarene","C3270",NA
"3003","beta-calacorene","beta-calacorene","C3271",529621
"3004","beta-calacorene+unknown","beta-calacorene+unknown","C3272",NA
"3005","beta-campholenal","beta-campholenal","C3273",NA
"3006","beta-caryophylene","beta-caryophylene","C3274",5281515
"3007","beta-caryophyllen","beta-caryophyllen","C3275",5281522
"3008","beta-caryophyllene","beta- caryophyllene","C312",5281515
"3009","beta-caryophyllene","beta- caryophyllene","C312",5281515
"3010","beta-caryophyllene","beta- caryophyllene","C312",5281515
"3011","beta-caryophyllene","beta- caryophyllene","C312",5281515
"3012","beta-caryophyllene","beta -caryophyllene","C3427",5281515
"3013","beta-caryophyllene","beta -caryophyllene","C3427",5281515
"3014","beta-caryophyllene","beta -caryophyllene","C3427",5281515
"3015","beta-caryophyllene","beta -caryophyllene","C3427",5281515
"3016","beta-caryophyllene","beta-caryophyllene","C319",5281515
"3017","beta-caryophyllene","beta-caryophyllene","C319",5281515
"3018","beta-caryophyllene","beta-caryophyllene","C319",5281515
"3019","beta-caryophyllene","beta-caryophyllene","C319",5281515
"3020","beta-caryophyllene","betacaryophyllene","C3443",5281515
"3021","beta-caryophyllene","betacaryophyllene","C3443",5281515
"3022","beta-caryophyllene","betacaryophyllene","C3443",5281515
"3023","beta-caryophyllene","betacaryophyllene","C3443",5281515
"3024","beta-caryophyllene-oxide","beta-caryophyllene-oxide","C3276",NA
"3025","beta-caryophyllene (+ beta-cedrene)","beta-caryophyllene (+ beta-cedrene)","C3277",NA
"3026","beta-caryophyllene + beta-elemene","beta-caryophyllene + beta-elemene","C3278",NA
"3027","beta-caryophyllene alcohol","beta-caryophyllene alcohol","C320",61125
"3028","beta-caryophyllene oxide","beta-caryophyllene oxide","C321",1742210
"3029","beta-caryophyllene oxide/globulol","beta-caryophyllene oxide/globulol","C3279",NA
"3030","beta-caryophyllene+lavandulyl acetate","beta-caryophyllene+lavandulyl acetate","C3280",NA
"3031","beta-caryophyllene+terpinen-4-ol","beta-caryophyllene+terpinen-4-ol","C3281",NA
"3032","beta-caryophyllene+trans-alpha-bergamotene","beta-caryophyllene+trans-alpha-bergamotene","C3282",NA
"3033","beta-caryophylleneoxide","beta-caryophylleneoxide","C3283",NA
"3034","beta-caryophyylene","beta-caryophyylene","C3284",NA
"3035","beta-caryopyllene","beta-caryopyllene","C3285",NA
"3036","beta-catyophyllene","beta-catyophyllene","C3286",NA
"3037","beta-cedren-9-one","beta-cedren-9-one","C322",NA
"3038","beta-cedrene","beta-cedrene","C323",11106485
"3039","beta-cedrene epoxide","beta-cedrene epoxide","C3287",NA
"3040","beta-cedreneepoxide","beta-cedreneepoxide","C324",NA
"3041","beta-celinene","beta-celinene","C3288",NA
"3042","beta-chamigrene","beta-chamigrene","C3289",442353
"3043","beta-chlorophyll","beta-chlorophyll","C3290",NA
"3044","beta-citral","beta-citral","C3291",643779
"3045","beta-citronellol","beta-citronellol","C3292",8842
"3046","beta-citronellol + nerol","beta-citronellol + nerol","C3293",NA
"3047","beta-copaen-4-alpha-ol","beta-copaen-4-alpha-ol","C325",NA
"3048","beta-copaen-4-alpha-ol isomer-i","beta-copaen-4-alpha-ol isomer-i","C3294",NA
"3049","beta-copaen-4-beta-ol","beta-copaen-4-beta-ol","C3295",NA
"3050","beta-copaen-4-ol","beta-copaen-4-ol","C3296",NA
"3051","beta-copaen-4-ol e","beta-copaen-4-ol e","C3297",NA
"3052","beta-copaen-4-ol isomer-ii","beta-copaen-4-ol isomer-ii","C3298",NA
"3053","beta-Copaen-4alpha-ol","beta-Copaen-4alpha-ol","C3299",NA
"3054","beta-copaen4alpha-ol","beta-copaen4alpha-ol","C3300",NA
"3055","beta-copaene","beta-copaene*","C3302",57339298
"3056","beta-copaene","beta-copaene*","C3302",57339298
"3057","beta-copaene","beta-copaene","C326",57339298
"3058","beta-copaene","beta-copaene","C326",57339298
"3059","beta-Copaene","beta -Copaene","C3428",NA
"3060","beta-copaene-4-alpha-ol","beta-copaene-4-alpha-ol","C3301",NA
"3061","beta-copaene+2-hexyl-cyclopropane acetic acid","beta-copaene+2-hexyl-cyclopropane acetic acid","C3303",NA
"3062","beta-costol","beta-costol","C3304",12304104
"3063","beta-cubebene","beta-cubebene","C327",93081
"3064","beta-cubebene","beta-cubebene","C327",93081
"3065","beta-cubebene","beta-cubebene","C327",93081
"3066","beta-cubebene","beta-cubebene*","C3305",93081
"3067","beta-cubebene","beta-cubebene*","C3305",93081
"3068","beta-cubebene","beta-cubebene*","C3305",93081
"3069","beta-cubebene","beta-cubebeneâ€","C3307",93081
"3070","beta-cubebene","beta-cubebeneâ€","C3307",93081
"3071","beta-cubebene","beta-cubebeneâ€","C3307",93081
"3072","beta-cubebene+beta-elemene","beta-cubebene+beta-elemene","C3306",NA
"3073","beta-cubebened","beta-cubebened","C3308",NA
"3074","beta-cubenene","beta-cubenene","C3309",NA
"3075","beta-cubenone","beta-cubenone","C3310",NA
"3076","beta-curcumene","beta?curcumene","C3442",14014430
"3077","beta-curcumene","beta?curcumene","C3442",14014430
"3078","beta-curcumene","beta?curcumene","C3442",14014430
"3079","beta-curcumene","beta-curcumene","C3311",14014430
"3080","beta-curcumene","beta-curcumene","C3311",14014430
"3081","beta-curcumene","beta-curcumene","C3311",14014430
"3082","beta-curcumene","beta -curcumene","C3429",14014430
"3083","beta-curcumene","beta -curcumene","C3429",14014430
"3084","beta-curcumene","beta -curcumene","C3429",14014430
"3085","beta-curcumine","beta-curcumine","C328",NA
"3086","beta-cyclocitral","beta-cyclocitral","C329",9895
"3087","beta-cyclocostunolide","beta-cyclocostunolide","C3312",442192
"3088","beta-cycloelemene","beta-cycloelemene","C3313",NA
"3089","beta-cymene","beta-cymene","C330",10812
"3090","beta-cyperone","beta-cyperone","C331",NA
"3091","beta-damascenone","beta-damascenone","C332",5366074
"3092","beta-damascone","beta-damascone","C3314",5374527
"3093","beta-delta-cadinene","beta-delta-cadinene","C3315",NA
"3094","beta-dihydro agarofuran","beta-dihydro agarofuran","C3316",NA
"3095","beta-dihydroagarofuran","beta-dihydroagarofuran","C333",NA
"3096","beta-dihydroagorafuran","beta-dihydroagorafuran","C3317",NA
"3097","beta-dodecalactone","beta-dodecalactone","C334",NA
"3098","beta-duprezianene","beta-duprezianene","C3318",NA
"3099","beta-e-damascenone","beta-e-damascenone","C3319",NA
"3100","beta-eksantalal","beta-eksantalal","C3320",NA
"3101","beta-elaskene","beta-elaskene","C3321",NA
"3102","beta-elememe","beta-elememe","C3322",NA
"3103","beta-elemene","beta- elemene","C3237",6918391
"3104","beta-elemene","beta- elemene","C3237",6918391
"3105","beta-elemene","beta- elemene","C3237",6918391
"3106","beta-elemene","beta-elemene*","C3325",6918391
"3107","beta-elemene","beta-elemene*","C3325",6918391
"3108","beta-elemene","beta-elemene*","C3325",6918391
"3109","beta-elemene","beta-elemene","C335",6918391
"3110","beta-elemene","beta-elemene","C335",6918391
"3111","beta-elemene","beta-elemene","C335",6918391
"3112","beta-elemene + terpinen-4-ol","beta-elemene + terpinen-4-ol","C3323",NA
"3113","beta-elemene isomer","beta-elemene isomer","C3324",NA
"3114","beta-elemenone","beta-elemenone","C3326",10955018
"3115","beta-elemol","beta-elemol","C3327",NA
"3116","beta-elmene","beta-elmene","C3328",NA
"3117","beta-emene","beta-emene","C3329",NA
"3118","beta-eudesmene","beta-eudesmene","C3330",442393
"3119","beta-eudesmoi","beta-eudesmoi","C3331",NA
"3120","beta-eudesmol","beta-eudesmol","C336",91457
"3121","beta-eudesmol","beta-eudesmol","C336",91457
"3122","beta-eudesmol","beta -eudesmol","C3430",91457
"3123","beta-eudesmol","beta -eudesmol","C3430",91457
"3124","beta-eudesmol acetate","beta-eudesmol acetate","C3332",NA
"3125","beta-eudesrnol","beta-eudesrnol","C3333",NA
"3126","beta-famesene","beta-famesene","C3334",NA
"3127","beta-farnacene","beta-farnacene","C3335",NA
"3128","beta-farnesene","beta-farnesene","C337",5281517
"3129","beta-fenchol","beta-fenchol","C338",6973643
"3130","beta-fenchol acetate","beta-fenchol acetate","C3336",NA
"3131","beta-fenchone","beta-fenchone","C339",NA
"3132","beta-fenchyl acetate","beta-fenchyl acetate","C3337",NA
"3133","beta-fenchyl alcohol","beta-fenchyl alcohol","C3338",6973643
"3134","beta-Fencyl alcohol","beta-Fencyl alcohol","C3339",NA
"3135","beta-funebrene","beta-funebrene","C3340",NA
"3136","beta-geranyl acetate","beta-geranyl acetate","C3341",1549026
"3137","beta-germacrenol","beta-germacrenol","C3342",NA
"3138","beta-giurjunene","beta-giurjunene","C3343",NA
"3139","beta-guaiaene","beta-guaiaene","C3344",NA
"3140","beta-guaiene","beta-guaiene","C340",6949
"3141","beta-guaiene+alpha-humulene","beta-guaiene+alpha-humulene","C3345",NA
"3142","beta-guainene","beta-guainene","C3346",NA
"3143","beta-gujunene","beta-gujunene","C3347",NA
"3144","beta-gurgunene","beta-gurgunene","C3348",NA
"3145","beta-gurjunene","beta-gurjunene","C341",6450812
"3146","beta-gurjunene","beta-gurjunene","C341",6450812
"3147","beta-gurjunene","beta -gurjunene","C3431",6450812
"3148","beta-gurjunene","beta -gurjunene","C3431",6450812
"3149","beta-hexalactone","beta-hexalactone","C3349",NA
"3150","beta-himachalene","beta-himachalene","C342",15095
"3151","beta-himachalene oxide","beta-himachalene oxide","C3350",NA
"3152","beta-himachaleneoxide","beta-himachaleneoxide","C3351",NA
"3153","beta-himachallene","beta-himachallene","C3352",NA
"3154","beta-himachalol","beta-himachalol","C3353",NA
"3155","beta-homocyclocitral","beta-homocyclocitral","C3354",61124
"3156","beta-humulene","beta-humulene","C343",NA
"3157","beta-ionane","beta-ionane","C3355",NA
"3158","beta-ionaneepoxide","beta-ionaneepoxide","C3356",NA
"3159","beta-ionol","beta-ionol","C3357",5373729
"3160","beta-ionone","beta-ionone","C344",638014
"3161","beta-ionone-5,6-epoxide","beta-ionone-5,6-epoxide","C3358",NA
"3162","beta-ionone epoxide","beta-ionone epoxide","C3359",5352481
"3163","beta-isocomene","beta-isocomene","C3360",90658163
"3164","beta-isocumene","beta-isocumene","C3361",NA
"3165","beta-langene","beta-langene","C3362",NA
"3166","beta-logipinene","beta-logipinene","C3363",NA
"3167","beta-longipinene","beta-longipinene","C3364",25203064
"3168","beta-maaliene","beta-maaliene","C3365",101596917
"3169","beta-maliene","beta-maliene","C3366",NA
"3170","beta-malliene","beta-malliene","C3367",NA
"3171","beta-mircene","beta-mircene","C3368",NA
"3172","beta-muurolene","beta-muurolene","C3369",NA
"3173","beta-muurolol","beta-muurolol","C3370",NA
"3174","beta-mycrene","beta-mycrene","C3371",NA
"3175","beta-myrcene","beta-myrcene","C345",31253
"3176","beta-ocimene","beta-ocimene","C3372",5281553
"3177","beta-ocimene (E)","beta-ocimene (e)","C3373",NA
"3178","beta-ocimene (Z)","beta-ocimene (z)","C3374",NA
"3179","beta-ocimene(E)","beta-ocimene(e)","C3375",NA
"3180","beta-opleponone","beta-opleponone","C3376",NA
"3181","beta-oplopenone","beta-oplopenone","C3377",14038847
"3182","beta-p-dimethylstyrene","beta-p-dimethylstyrene","C3378",NA
"3183","beta-patchoulene","beta-patchoulene","C3379",101731
"3184","beta-pentadecanone","beta-pentadecanone","C3380",NA
"3185","beta-phallandrene","beta-phallandrene","C3381",NA
"3186","beta-phelandrene","beta-phelandrene","C3382",NA
"3187","beta-phellanderene","beta-phellanderene","C3383",NA
"3188","beta-phellandren-8-ol","beta-phellandren-8-ol","C3384",NA
"3189","beta-phellandrene","beta - phellandrene","C3426",11142
"3190","beta-phellandrene","beta - phellandrene","C3426",11142
"3191","beta-phellandrene","beta-phellandrene","C346",11142
"3192","beta-phellandrene","beta-phellandrene","C346",11142
"3193","beta-phellandrene/limonene","beta-phellandrene/limonene","C3385",NA
"3194","beta-phellandrene+1,8-cineole","beta-phellandrene+1,8-cineole","C3386",NA
"3195","beta-phellandrene+limonene","beta-phellandrene+limonene","C347",NA
"3196","beta-phellandrene+limonenec","beta-phellandrene+limonenec","C3387",NA
"3197","beta-phenethyl acetate","beta-phenethyl acetate","C3388",7654
"3198","beta-phenethyl alcohol","beta-phenethyl alcohol","C3389",NA
"3199","beta-phenyl-ethyl acetate","beta-phenyl-ethyl acetate","C348",NA
"3200","beta-pinene","beta-pinene","C349",14896
"3201","beta-pinene","beta-pinene","C349",14896
"3202","beta-pinene","beta-pinene","C349",14896
"3203","beta-pinene","beta -pinene","C3432",14896
"3204","beta-pinene","beta -pinene","C3432",14896
"3205","beta-pinene","beta -pinene","C3432",14896
"3206","beta-pinene","beta- pinene","C3238",14896
"3207","beta-pinene","beta- pinene","C3238",14896
"3208","beta-pinene","beta- pinene","C3238",14896
"3209","beta-pinene-ms","beta-pinene-ms","C3390",NA
"3210","beta-pinene oxide","beta-pinene0oxide","C350",93046
"3211","beta-pinene oxide","beta-pinene0oxide","C350",93046
"3212","beta-pinene oxide","beta-pinene0oxide","C350",93046
"3213","beta-pinene oxide","beta-pinene0oxide","C350",93046
"3214","beta-pinene oxide","beta-pinene oxide","C3391",93046
"3215","beta-pinene oxide","beta-pinene oxide","C3391",93046
"3216","beta-pinene oxide","beta-pinene oxide","C3391",93046
"3217","beta-pinene oxide","beta-pinene oxide","C3391",93046
"3218","beta-pinene oxide","beta-pineneÂ oxide","C3395",93046
"3219","beta-pinene oxide","beta-pineneÂ oxide","C3395",93046
"3220","beta-pinene oxide","beta-pineneÂ oxide","C3395",93046
"3221","beta-pinene oxide","beta-pineneÂ oxide","C3395",93046
"3222","beta-pinene oxide","beta-pineneoxide","C3396",93046
"3223","beta-pinene oxide","beta-pineneoxide","C3396",93046
"3224","beta-pinene oxide","beta-pineneoxide","C3396",93046
"3225","beta-pinene oxide","beta-pineneoxide","C3396",93046
"3226","beta-pinene+6-methyl-5-hepten-3-one","beta-pinene+6-methyl-5-hepten-3-one","C3392",NA
"3227","beta-pinene+myrcene","beta-pinene+myrcene","C3393",NA
"3228","beta-pinene+sabinene","beta-pinene+sabinene","C3394",NA
"3229","beta-sabinene","beta-sabinene","C3397",NA
"3230","beta-sabinine","beta-sabinine","C3398",NA
"3231","beta-salinene","beta-salinene","C3399",NA
"3232","beta-sanatalene","beta-sanatalene","C351",NA
"3233","beta-santalal","beta-santalal","C3400",101449606
"3234","beta-santaldiol","beta-santaldiol","C3401",15276127
"3235","beta-santalene","beta-santalene","C352",10889018
"3236","beta-santalene+allo-aromadendrene","beta-santalene+allo-aromadendrene","C3402",NA
"3237","beta-santalol","beta-santalol","C3403",6857681
"3238","beta-satalene","beta-satalene","C3404",NA
"3239","beta-sedrene","beta-sedrene","C3405",NA
"3240","beta-selenine","beta-selenine","C3406",NA
"3241","beta-selinene","beta-selinene","C353",442393
"3242","beta-selinene","beta-selinene","C353",442393
"3243","beta-selinene","beta- selinene","C3239",442393
"3244","beta-selinene","beta- selinene","C3239",442393
"3245","beta-selinene epoxide","beta-selinene epoxide","C3407",NA
"3246","beta-selinene/beta-ionone","beta-selinene/beta-ionone","C3408",NA
"3247","beta-selinone","beta-selinone","C3409",NA
"3248","beta-sesquiphelandrene","beta-sesquiphelandrene","C3410",NA
"3249","beta-sesquiphellandrene","beta-sesquiphellandrene","C354",12315492
"3250","beta-silinene","beta-silinene","C3411",NA
"3251","beta-sinensal","beta-sinensal","C3412",5281535
"3252","beta-sinesal","beta-sinesal","C3413",NA
"3253","beta-terpinene","beta-terpinene","C355",66841
"3254","beta-terpineol","beta-terpineol","C3414",8748
"3255","beta-thujanol","beta-thujanol","C3415",NA
"3256","beta-thujaplicin","beta-thujaplicin","C3416",3611
"3257","beta-thujaplicine","beta-thujaplicine","C3417",3611
"3258","beta-thujene","beta-thujene","C3418",520384
"3259","beta-thujone","beta-thujone","C356",91456
"3260","beta-thujone(trans)","beta-thujone(trans)","C3419",NA
"3261","beta-trans-bejarol","beta-trans-bejarol","C3420",NA
"3262","beta-trans-ocimene","beta-trans-ocimene","C3421",5281553
"3263","beta-turmerone","beta-turmerone","C3422",196216
"3264","beta-udesmol","beta-udesmol","C3423",NA
"3265","beta-vetivenene","beta-vetivenene","C3424",14475467
"3266","beta-vetivone","beta-vetivone","C3425",442406
"3267","beta-ylangene","beta-ylangene","C357",25244198
"3268","beta besabolol","beta besabolol","C3434",NA
"3269","beta bisabolene","beta bisabolene","C3435",NA
"3270","beta caryophyllene","beta caryophyllene","C3436",NA
"3271","beta copaene","beta copaene","C3437",NA
"3272","beta elemene","beta elemene","C3438",NA
"3273","beta farnesene","beta farnesene","C3439",15228937
"3274","beta funebrene","beta funebrene","C3440",NA
"3275","beta myrcene","beta myrcene","C3441",NA
"3276","beta pinene","beta –pinene","C3433",14896
"3277","betalpha-atlantola","betalpha-atlantola","C3444",NA
"3278","betalpha-bisabolene","betalpha-bisabolene","C3445",NA
"3279","betalpha-guainenea","betalpha-guainenea","C3446",NA
"3280","betalpha-himachalene","betalpha-himachalene","C3447",NA
"3281","betalpha-himachalene oxidea","betalpha-himachalene oxidea","C3448",NA
"3282","beyerene","beyerene","C3449",107412
"3283","bht (antioxidant from diethyl ether)","bht (antioxidant from diethyl ether)","C3450",NA
"3284","bicicloelemene","bicicloelemene","C3451",NA
"3285","biciclogermacrene","biciclogermacrene","C3452",NA
"3286","bicycle-germacrene","bicycle-germacrene","C3453",NA
"3287","bicyclene","bicyclene","C3454",NA
"3288","bicyclic germacrene","bicyclic germacrene","C3455",NA
"3289","bicyclo-elemene","bicyclo-elemene","C3456",NA
